year,section,metric,count,percent
2023,Overall Survival (%),Overall Survival to Hospital Admission,36492,26.1
2023,Overall Survival (%),Overall Survival to Hospital Discharge,14300,10.2
2023,Overall Survival (%),With Good or Moderate Cerebral Performance,11376,8.1
2023,Overall Survival (%),Missing hospital outcome,332,
2024,Age,Mean,631,
2024,Age,Median,660,
2024,Sex (%),Female,50482,36.8
2024,Sex (%),Male,86624,63.2
2024,Race (%),American-Indian/Alaskan,560,0.4
2024,Race (%),Asian,4100,3.0
2024,Race (%),Black/African-American,29454,21.5
2024,Race (%),Hispanic/Latino,12726,9.3
2024,Race (%),Native Hawaiian/Pacific Islander,619,0.5
2024,Race (%),White,71936,52.5
2024,Race (%),Multi-racial,712,0.5
2024,Race (%),Unknown,17006,12.4
2024,Location of Arrest (%),Home/Residence,97774,71.3
2024,Location of Arrest (%),Nursing Home,14730,10.7
2024,Location of Arrest (%),Public Setting,24613,18.0
2024,Arrest witnessed (%),Bystander Witnessed,51419,37.5
2024,Arrest witnessed (%),Witnessed by 911 Responder,16859,12.3
2024,Arrest witnessed (%),Unwitnessed,68840,50.2
2024,Who Initiated CPR? (%),Not Applicable,42,0.0
2024,Who Initiated CPR? (%),Bystander,57289,41.9
2024,Who Initiated CPR? (%),First Responder,42529,31.1
2024,Who Initiated CPR? (%),Emergency Medical Services (EMS),36926,27.0
2024,Was an AED applied prior to EMS arrival? (%),Yes,40031,29.2
2024,Was an AED applied prior to EMS arrival? (%),No,97085,70.8
2024,Who first applied automated external defibrillator? (%),Bystander,9251,22.8
2024,Who first applied automated external defibrillator? (%),First Responder,31403,77.2
2024,Who first defibrillated the patient?* (%),Not Applicable,95677,69.8
2024,Who first defibrillated the patient?* (%),Bystander,2393,1.7
2024,Who first defibrillated the patient?* (%),First Responder,9797,7.1
2024,Who first defibrillated the patient?* (%),Responding EMS Personnel,29242,21.3
2024,First Arrest Rhythm (%),Vfib/Vtach/Unknown Shockable Rhythm,24747,18.1
2024,First Arrest Rhythm (%),Asystole,69425,50.6
2024,First Arrest Rhythm (%),Idioventricular/PEA,30865,22.5
2024,First Arrest Rhythm (%),Unknown Unshockable Rhythm,12064,8.8
2024,Sustained ROSC (%),Yes,34752,25.4
2024,Sustained ROSC (%),No,102319,74.6
2024,Was hypothermia care provided in the field? (%),Yes,4384,3.2
2024,Was hypothermia care provided in the field? (%),No,132709,96.8
2024,Pre-hospital Outcome (%),Pronounced in the Field,59026,43.0
2024,Pre-hospital Outcome (%),Pronounced in ED,13579,9.9
2024,Pre-hospital Outcome (%),Ongoing Resuscitation in ED,64514,47.0
2024,Overall Survival (%),Overall Survival to Hospital Admission,35181,25.7
2024,Overall Survival (%),Overall Survival to Hospital Discharge,14390,10.5
2024,Overall Survival (%),With Good or Moderate Cerebral Performance,11280,8.2
2024,Overall Survival (%),Missing hospital outcome,334,
