,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Health Expenditure Australia 2022–23 - Datacube,,,,,,,,,
,,,,,,,,,
Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($),Current per person ($),Constant per person ($)
2013-14,WA,Hospitals,Public hospital services,Non-government,Individuals,"31,68,96,759","37,96,17,623",127,152
2013-14,WA,Hospitals,Public hospital services,Non-government,Other sources of fund,"4,36,09,844","5,22,41,195",17,21
2013-14,WA,Hospitals,Public hospital services,State and local government,State and local government,"3,17,82,70,622","3,80,73,20,534","1,270","1,522"
2013-14,WA,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"1,91,25,000","2,30,63,903",8,9
2013-14,WA,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-1,91,25,000","-2,30,63,903",-8,-9
2013-14,WA,Other services,Administration,Australian Government,Department of Veterans' Affairs,0,0,0,0
2013-14,WA,Other services,Administration,Australian Government,DoHAC and other,"12,43,64,000","14,99,77,476",50,60
2013-14,WA,Other services,Administration,Australian Government,Premium rebates,"6,71,54,044","8,09,84,803",27,32
2013-14,WA,Other services,Administration,Non-government,Health Insurance Funds,"15,64,76,035","18,87,03,169",63,75
2013-14,WA,Other services,Administration,Non-government,Individuals,"38,00,559","45,83,306",2,2
2013-14,WA,Other services,Administration,Non-government,Other sources of fund,"5,23,015","6,30,733",0,0
2013-14,WA,Other services,Administration,State and local government,State and local government,"14,47,88,304","17,46,08,283",58,70
2013-14,WA,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"2,91,000","3,50,291",0,0
2013-14,WA,Other services,Aids and appliances,Australian Government,DoHAC and other,"4,53,71,156","5,46,15,417",18,22
2013-14,WA,Other services,Aids and appliances,Australian Government,Premium rebates,"2,81,87,336","3,39,30,436",11,14
2013-14,WA,Other services,Aids and appliances,Non-government,Health Insurance Funds,"6,56,79,478","7,90,61,509",26,32
2013-14,WA,Other services,Aids and appliances,Non-government,Individuals,"52,31,81,922","62,97,78,951",209,252
2013-14,WA,Other services,Aids and appliances,Non-government,Other sources of fund,"1,06,74,262","1,28,49,117",4,5
2013-14,WA,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"75,60,000","90,56,291",3,4
2013-14,WA,Other services,Patient transport services,Australian Government,DoHAC and other,"1,64,70,927","1,97,30,887",7,8
2013-14,WA,Other services,Patient transport services,Australian Government,Premium rebates,"97,76,912","1,17,11,978",4,5
2013-14,WA,Other services,Patient transport services,Non-government,Health Insurance Funds,"2,27,81,240","2,72,90,150",9,11
2013-14,WA,Other services,Patient transport services,Non-government,Individuals,"33,90,696","40,61,789",1,2
2013-14,WA,Other services,Patient transport services,Non-government,Other sources of fund,"99,19,472","1,18,82,754",4,5
2013-14,WA,Other services,Patient transport services,State and local government,State and local government,"20,27,66,362","24,28,98,301",81,97
2013-14,WA,Primary health care,All other medications,Australian Government,DoHAC and other,"5,73,73,532","6,08,00,010",23,24
2013-14,WA,Primary health care,All other medications,Australian Government,Premium rebates,"24,60,034","26,06,953",1,1
2013-14,WA,Primary health care,All other medications,Non-government,Health Insurance Funds,"57,32,140","60,74,476",2,2
2013-14,WA,Primary health care,All other medications,Non-government,Individuals,"84,00,56,603","89,02,26,702",336,356
2013-14,WA,Primary health care,All other medications,Non-government,Other sources of fund,"2,75,33,714","2,91,78,091",11,12
2013-14,WA,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"3,17,67,000","4,48,91,855",13,18
2013-14,WA,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"72,29,73,462","1,02,16,65,413",289,408
2013-14,WA,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"15,83,32,625","22,37,49,340",63,89
2013-14,WA,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"1,24,000","1,49,539",0,0
2013-14,WA,Primary health care,Community health and other,Australian Government,DoHAC and other,"15,43,98,937","18,61,96,210",62,74
2013-14,WA,Primary health care,Community health and other,Australian Government,Premium rebates,"10,227","12,333",0,0
2013-14,WA,Primary health care,Community health and other,Non-government,Health Insurance Funds,"23,829","28,737",0,0
2013-14,WA,Primary health care,Community health and other,Non-government,Individuals,"1,16,38,433","1,40,35,435",5,6
2013-14,WA,Primary health care,Community health and other,Non-government,Other sources of fund,"39,74,726","47,93,344",2,2
2013-14,WA,Primary health care,Community health and other,State and local government,State and local government,"70,89,44,479","85,49,55,648",283,342
2013-14,WA,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"1,03,32,000","1,15,11,592",4,5
2013-14,WA,Primary health care,Dental services,Australian Government,DoHAC and other,"31,81,337","35,44,546",1,1
2013-14,WA,Primary health care,Dental services,Australian Government,Premium rebates,"10,20,78,783","11,37,32,991",41,45
2013-14,WA,Primary health care,Dental services,Non-government,Health Insurance Funds,"23,78,54,375","26,50,09,915",95,106
2013-14,WA,Primary health care,Dental services,Non-government,Individuals,"83,17,36,581","92,66,94,917",332,370
2013-14,WA,Primary health care,Dental services,Non-government,Other sources of fund,"63,64,692","70,91,341",3,3
2013-14,WA,Primary health care,Dental services,State and local government,State and local government,"9,60,40,549","10,70,05,379",38,43
2013-14,WA,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"2,16,63,000","2,81,18,259",9,11
2013-14,WA,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"10,51,82,922","13,65,25,903",42,55
2013-14,WA,Primary health care,Other health practitioners,Australian Government,Premium rebates,"3,66,74,659","4,76,03,174",15,19
2013-14,WA,Primary health care,Other health practitioners,Non-government,Health Insurance Funds,"8,54,55,841","11,09,20,438",34,44
2013-14,WA,Primary health care,Other health practitioners,Non-government,Individuals,"8,65,35,586","11,23,21,931",35,45
2013-14,WA,Primary health care,Other health practitioners,Non-government,Other sources of fund,"3,93,30,683","5,10,50,654",16,20
2013-14,WA,Primary health care,Public health,Australian Government,DoHAC and other,"13,46,48,234","16,12,98,437",54,64
2013-14,WA,Primary health care,Public health,State and local government,State and local government,"12,40,64,131","14,86,19,161",50,59
2013-14,WA,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"1,05,03,842","1,15,07,322",4,5
2013-14,WA,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"67,82,08,890","74,30,00,870",271,297
2013-14,WA,Primary health care,Unreferred medical services,Non-government,Individuals,"9,46,12,556","10,36,51,326",38,41
2013-14,WA,Primary health care,Unreferred medical services,Non-government,Other sources of fund,"12,01,92,355","13,16,74,880",48,53
2013-14,WA,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"6,26,65,287","6,86,51,988",25,27
2013-14,WA,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"98,90,09,130","1,08,34,93,691",395,433
2013-14,WA,Referred medical services,Referred medical services,Australian Government,Premium rebates,"6,61,35,020","7,24,53,200",26,29
2013-14,WA,Referred medical services,Referred medical services,Non-government,Health Insurance Funds,"15,41,01,601","16,88,23,631",62,67
2013-14,WA,Referred medical services,Referred medical services,Non-government,Individuals,"26,50,09,113","29,03,26,644",106,116
2013-14,WA,Research,Research,Australian Government,Department of Veterans' Affairs,0,0,0,0
2013-14,WA,Research,Research,Australian Government,DoHAC and other,"34,64,30,550","41,77,79,832",138,167
2013-14,WA,Research,Research,Non-government,Individuals,"8,57,194","10,33,738",0,0
2013-14,WA,Research,Research,Non-government,Other sources of fund,"2,38,19,377","2,87,25,114",10,11
2013-14,WA,Research,Research,State and local government,State and local government,"4,65,99,179","5,61,96,546",19,22
2014-15,ACT,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"48,35,536","47,52,527",12,12
2014-15,ACT,Capital expenditure,Capital expenditure,Non-government,Other sources of fund,"5,64,36,826","6,48,94,836",144,166
2014-15,ACT,Capital expenditure,Capital expenditure,State and local government,State and local government,"8,00,00,000","9,19,09,289",204,234
2014-15,ACT,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"66,49,000","78,65,408",17,20
2014-15,ACT,Hospitals,Private hospitals,Australian Government,DoHAC and other,"26,56,505","31,41,911",7,8
2014-15,ACT,Hospitals,Private hospitals,Australian Government,Premium rebates,"3,60,57,770","4,26,54,395",92,109
2014-15,ACT,Hospitals,Private hospitals,Non-government,Health Insurance Funds,"8,87,65,077","10,50,04,293",226,268
2014-15,ACT,Hospitals,Private hospitals,Non-government,Individuals,"3,06,57,034","3,62,65,616",78,93
2014-15,ACT,Hospitals,Private hospitals,Non-government,Other sources of fund,"1,21,88,161","1,44,17,937",31,37
2014-15,ACT,Hospitals,Private hospitals,State and local government,State and local government,"71,16,000","84,17,844",18,21
2014-15,ACT,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"3,03,87,347","3,59,46,590",78,92
2014-15,ACT,Hospitals,Public hospital services,Australian Government,DoHAC and other,"33,88,19,857","40,07,84,108",864,"1,022"
2014-15,ACT,Hospitals,Public hospital services,Australian Government,Premium rebates,"42,85,120","50,69,065",11,13
2014-15,ACT,Hospitals,Public hospital services,Non-government,Health Insurance Funds,"1,05,48,877","1,24,78,751",27,32
2014-15,ACT,Hospitals,Public hospital services,Non-government,Individuals,"39,30,085","46,49,078",10,12
2014-15,ACT,Hospitals,Public hospital services,Non-government,Other sources of fund,"1,26,30,236","1,49,40,887",32,38
2014-15,ACT,Hospitals,Public hospital services,State and local government,State and local government,"64,57,02,945","76,38,31,716","1,647","1,949"
2014-15,ACT,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"44,08,000","52,60,000",11,13
2014-15,ACT,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-44,08,000","-52,60,000",-11,-13
2014-15,ACT,Other services,Administration,Australian Government,Department of Veterans' Affairs,"3,96,20,000","4,72,77,950",101,121
2014-15,ACT,Other services,Administration,Australian Government,DoHAC and other,"1,99,46,814","2,37,48,688",51,61
2014-15,ACT,Other services,Administration,Australian Government,Premium rebates,"3,66,812","4,37,711",1,1
2014-15,ACT,Other services,Administration,Non-government,Health Insurance Funds,"9,03,019","10,77,559",2,3
2014-15,ACT,Other services,Administration,State and local government,State and local government,0,0,0,0
2014-15,ACT,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,0,0,0,0
2014-15,ACT,Other services,Aids and appliances,Australian Government,DoHAC and other,"72,01,970","83,84,288",18,21
2014-15,ACT,Other services,Aids and appliances,Australian Government,Premium rebates,"40,05,402","46,62,952",10,12
2014-15,ACT,Other services,Aids and appliances,Non-government,Health Insurance Funds,"98,60,529","1,14,79,292",25,29
2014-15,ACT,Other services,Aids and appliances,Non-government,Individuals,"2,21,10,477","2,57,40,263",56,66
2014-15,ACT,Other services,Aids and appliances,Non-government,Other sources of fund,"11,93,289","13,89,186",3,4
2014-15,ACT,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,0,0,0,0
2014-15,ACT,Other services,Patient transport services,Australian Government,DoHAC and other,0,0,0,0
2014-15,ACT,Other services,Patient transport services,Australian Government,Premium rebates,"8,19,147","9,69,006",2,2
2014-15,ACT,Other services,Patient transport services,Non-government,Health Insurance Funds,"20,16,582","23,85,507",5,6
2014-15,ACT,Other services,Patient transport services,Non-government,Individuals,"18,361","21,720",0,0
2014-15,ACT,Other services,Patient transport services,Non-government,Other sources of fund,"12,68,315","15,00,348",3,4
2014-15,ACT,Other services,Patient transport services,State and local government,State and local government,"3,84,51,208","4,54,85,703",98,116
2014-15,ACT,Primary health care,All other medications,Australian Government,DoHAC and other,"61,04,696","65,67,720",16,17
2014-15,ACT,Primary health care,All other medications,Australian Government,Premium rebates,"3,53,696","3,89,839",1,1
2014-15,ACT,Primary health care,All other medications,Non-government,Health Insurance Funds,"8,70,732","9,59,708",2,2
2014-15,ACT,Primary health care,All other medications,Non-government,Individuals,"9,23,40,938","10,17,76,869",236,260
2014-15,ACT,Primary health care,All other medications,Non-government,Other sources of fund,"20,79,244","22,91,713",5,6
2014-15,ACT,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"1,24,00,000","1,82,48,052",32,47
2014-15,ACT,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"10,03,96,583","14,77,43,206",256,377
2014-15,ACT,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"2,23,02,417","3,28,20,618",57,84
2014-15,ACT,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,0,0,0,0
2014-15,ACT,Primary health care,Community health and other,Australian Government,DoHAC and other,"1,67,89,386","2,00,22,560",43,51
2014-15,ACT,Primary health care,Community health and other,Australian Government,Premium rebates,848,"1,012",0,0
2014-15,ACT,Primary health care,Community health and other,Non-government,Health Insurance Funds,"2,088","2,492",0,0
2014-15,ACT,Primary health care,Community health and other,Non-government,Other sources of fund,"10,087","12,036",0,0
2014-15,ACT,Primary health care,Community health and other,State and local government,State and local government,"19,47,69,532","23,24,15,551",497,593
2014-15,ACT,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"11,88,000","13,04,071",3,3
2014-15,ACT,Primary health care,Dental services,Australian Government,DoHAC and other,"40,84,084","44,82,881",10,11
2014-15,ACT,Primary health care,Dental services,Australian Government,Premium rebates,"1,19,33,832","1,30,99,806",30,33
2014-15,ACT,Primary health care,Dental services,Non-government,Health Insurance Funds,"2,93,78,797","3,22,49,200",75,82
2014-15,ACT,Primary health care,Dental services,Non-government,Individuals,"11,47,00,572","12,59,07,186",293,321
2014-15,ACT,Primary health care,Dental services,Non-government,Other sources of fund,"2,64,242","2,90,060",1,1
2014-15,ACT,Primary health care,Dental services,State and local government,State and local government,"1,15,25,406","1,26,51,475",29,32
2014-15,ACT,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"79,80,000","99,78,732",20,25
2014-15,ACT,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"1,76,69,258","2,20,94,836",45,56
2014-15,ACT,Primary health care,Other health practitioners,Australian Government,Premium rebates,"47,18,516","59,00,351",12,15
2014-15,ACT,Primary health care,Other health practitioners,Non-government,Health Insurance Funds,"1,16,16,078","1,45,25,530",30,37
2014-15,ACT,Primary health care,Other health practitioners,Non-government,Individuals,"5,26,28,772","6,58,10,578",134,168
2014-15,ACT,Primary health care,Other health practitioners,Non-government,Other sources of fund,"1,17,20,331","1,46,55,895",30,37
2014-15,ACT,Primary health care,Other health practitioners,State and local government,State and local government,"19,86,859","24,84,502",5,6
2014-15,ACT,Primary health care,Public health,Australian Government,DoHAC and other,"1,90,52,934","2,24,12,179",49,57
2014-15,ACT,Primary health care,Public health,State and local government,State and local government,"2,63,81,290","3,12,07,642",67,80
2014-15,ACT,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"1,22,05,073","1,42,97,199",31,36
2014-15,ACT,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"11,20,68,068","13,10,66,635",286,334
2014-15,ACT,Primary health care,Unreferred medical services,Non-government,Individuals,"2,72,79,906","3,19,56,076",70,82
2014-15,ACT,Primary health care,Unreferred medical services,Non-government,Other sources of fund,"1,89,71,357","2,22,23,321",48,57
2014-15,ACT,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"3,45,90,860","4,05,20,232",88,103
2014-15,ACT,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"15,65,82,312","18,34,22,780",399,468
2014-15,ACT,Referred medical services,Referred medical services,Australian Government,Premium rebates,"61,48,966","72,02,988",16,18
2014-15,ACT,Referred medical services,Referred medical services,Non-government,Health Insurance Funds,"1,51,37,571","1,77,32,370",39,45
2014-15,ACT,Referred medical services,Referred medical services,Non-government,Individuals,"6,96,95,815","8,16,42,683",178,208
2014-15,ACT,Research,Research,Australian Government,Department of Veterans' Affairs,"22,31,000","26,62,219",6,7
2014-15,ACT,Research,Research,Australian Government,DoHAC and other,"10,28,95,247","12,27,83,350",263,313
2014-15,ACT,Research,Research,Non-government,Individuals,"58,554","69,872",0,0
2014-15,ACT,Research,Research,Non-government,Other sources of fund,"45,78,723","54,63,721",12,14
2014-15,ACT,Research,Research,State and local government,State and local government,"1,61,59,340","1,92,82,697",41,49
2014-15,NSW,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"3,11,56,594","3,56,28,680",4,5
2014-15,NSW,Capital expenditure,Capital expenditure,Non-government,Other sources of fund,"1,61,02,59,761","2,05,75,53,542",213,272
2014-15,NSW,Capital expenditure,Capital expenditure,State and local government,State and local government,"1,27,50,00,000","1,59,31,68,074",169,211
2014-15,NSW,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"22,37,33,942","26,97,85,986",30,36
2014-15,NSW,Hospitals,Private hospitals,Australian Government,DoHAC and other,"10,63,32,226","12,82,15,310",14,17
2014-15,NSW,Hospitals,Private hospitals,Australian Government,Premium rebates,"87,82,88,756","1,05,90,70,414",116,140
2014-15,NSW,Hospitals,Private hospitals,Non-government,Health Insurance Funds,"2,16,21,23,977","2,60,71,62,529",286,345
2014-15,NSW,Hospitals,Private hospitals,Non-government,Individuals,"25,67,16,179","30,95,57,088",34,41
2014-15,NSW,Hospitals,Private hospitals,Non-government,Other sources of fund,"35,35,05,146","42,62,68,512",47,56
2014-15,NSW,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"34,24,91,488","41,29,87,870",45,55
2014-15,NSW,Hospitals,Public hospital services,Australian Government,DoHAC and other,"5,46,48,27,231","6,58,90,70,526",723,871
2014-15,NSW,Hospitals,Public hospital services,Australian Government,Premium rebates,"17,08,33,301","20,59,96,597",23,27
2014-15,NSW,Hospitals,Public hospital services,Non-government,Health Insurance Funds,"42,05,48,224","50,71,11,333",56,67
2014-15,NSW,Hospitals,Public hospital services,Non-government,Individuals,"27,18,69,005","32,78,28,880",36,43
2014-15,NSW,Hospitals,Public hospital services,Non-government,Other sources of fund,"82,06,25,517","98,95,38,122",109,131
2014-15,NSW,Hospitals,Public hospital services,State and local government,State and local government,"7,78,68,24,466","9,38,96,17,426","1,030","1,242"
2014-15,NSW,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"5,52,88,500","6,73,10,963",7,9
2014-15,NSW,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-5,52,88,500","-6,73,10,963",-7,-9
2014-15,NSW,Other services,Administration,Australian Government,Department of Veterans' Affairs,0,0,0,0
2014-15,NSW,Other services,Administration,Australian Government,DoHAC and other,"50,84,83,379","61,86,75,023",67,82
2014-15,NSW,Other services,Administration,Australian Government,Premium rebates,"15,92,09,415","19,38,29,442",21,26
2014-15,NSW,Other services,Administration,Non-government,Health Insurance Funds,"39,19,42,940","47,71,70,784",52,63
2014-15,NSW,Other services,Administration,State and local government,State and local government,0,0,0,0
2014-15,NSW,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"5,83,000","6,78,709",0,0
2014-15,NSW,Other services,Aids and appliances,Australian Government,DoHAC and other,"15,93,47,947","18,55,07,445",21,25
2014-15,NSW,Other services,Aids and appliances,Australian Government,Premium rebates,"8,68,99,268","10,11,65,164",11,13
2014-15,NSW,Other services,Aids and appliances,Non-government,Health Insurance Funds,"21,39,29,273","24,90,49,164",28,33
2014-15,NSW,Other services,Aids and appliances,Non-government,Individuals,"52,22,21,985","60,79,53,026",69,80
2014-15,NSW,Other services,Aids and appliances,Non-government,Other sources of fund,"63,20,744","73,58,395",1,1
2014-15,NSW,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"8,80,04,000","10,61,18,212",12,14
2014-15,NSW,Other services,Patient transport services,Australian Government,DoHAC and other,"45,31,705","54,64,484",1,1
2014-15,NSW,Other services,Patient transport services,Australian Government,Premium rebates,"4,96,26,157","5,98,40,906",7,8
2014-15,NSW,Other services,Patient transport services,Non-government,Health Insurance Funds,"12,21,70,049","14,73,16,794",16,19
2014-15,NSW,Other services,Patient transport services,Non-government,Individuals,"6,57,40,192","7,92,71,756",9,10
2014-15,NSW,Other services,Patient transport services,Non-government,Other sources of fund,"4,16,56,209","5,02,30,472",6,7
2014-15,NSW,Other services,Patient transport services,State and local government,State and local government,"61,85,82,470","74,59,07,753",82,99
2014-15,NSW,Primary health care,All other medications,Australian Government,DoHAC and other,"18,76,44,490","20,89,35,587",25,28
2014-15,NSW,Primary health care,All other medications,Australian Government,Premium rebates,"70,16,808","76,72,417",1,1
2014-15,NSW,Primary health care,All other medications,Non-government,Health Insurance Funds,"1,72,74,030","1,88,88,015",2,2
2014-15,NSW,Primary health care,All other medications,Non-government,Individuals,"3,16,52,06,324","3,46,09,44,868",419,458
2014-15,NSW,Primary health care,All other medications,Non-government,Other sources of fund,"86,98,994","95,11,777",1,1
2014-15,NSW,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"12,49,34,000","18,38,55,013",17,24
2014-15,NSW,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"2,68,66,16,011","3,95,36,26,420",355,523
2014-15,NSW,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"49,87,85,667","73,40,21,524",66,97
2014-15,NSW,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"2,45,000","2,98,275",0,0
2014-15,NSW,Primary health care,Community health and other,Australian Government,DoHAC and other,"32,94,17,256","40,09,63,303",44,53
2014-15,NSW,Primary health care,Community health and other,Australian Government,Premium rebates,"1,04,410","1,27,114",0,0
2014-15,NSW,Primary health care,Community health and other,Non-government,Health Insurance Funds,"2,57,038","3,12,931",0,0
2014-15,NSW,Primary health care,Community health and other,Non-government,Individuals,"14,18,15,598","17,26,53,346",19,23
2014-15,NSW,Primary health care,Community health and other,Non-government,Other sources of fund,"13,41,86,726","16,33,65,579",18,22
2014-15,NSW,Primary health care,Community health and other,State and local government,State and local government,"1,71,76,90,748","2,09,12,01,952",227,277
2014-15,NSW,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"2,86,48,000","3,14,47,002",4,4
2014-15,NSW,Primary health care,Dental services,Australian Government,DoHAC and other,"21,12,79,644","23,19,30,836",28,31
2014-15,NSW,Primary health care,Dental services,Australian Government,Premium rebates,"21,25,81,422","23,33,51,310",28,31
2014-15,NSW,Primary health care,Dental services,Non-government,Health Insurance Funds,"52,33,34,548","57,44,66,015",69,76
2014-15,NSW,Primary health care,Dental services,Non-government,Individuals,"1,55,16,47,782","1,70,32,48,758",205,225
2014-15,NSW,Primary health care,Dental services,Non-government,Other sources of fund,"1,59,03,451","1,74,57,269",2,2
2014-15,NSW,Primary health care,Dental services,State and local government,State and local government,"19,85,68,107","21,79,68,850",26,29
2014-15,NSW,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"6,74,75,000","8,43,75,307",9,11
2014-15,NSW,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"44,76,60,885","55,97,85,468",59,74
2014-15,NSW,Primary health care,Other health practitioners,Australian Government,Premium rebates,"10,10,62,129","12,63,74,926",13,17
2014-15,NSW,Primary health care,Other health practitioners,Non-government,Health Insurance Funds,"24,87,95,512","31,11,10,747",33,41
2014-15,NSW,Primary health care,Other health practitioners,Non-government,Individuals,"75,29,99,530","94,16,01,575",100,125
2014-15,NSW,Primary health care,Other health practitioners,Non-government,Other sources of fund,"10,68,87,551","13,36,59,428",14,18
2014-15,NSW,Primary health care,Public health,Australian Government,DoHAC and other,"37,62,19,557","45,26,27,309",50,60
2014-15,NSW,Primary health care,Public health,Non-government,Other sources of fund,"11,93,57,263","14,39,25,042",16,19
2014-15,NSW,Primary health care,Public health,State and local government,State and local government,"23,91,94,305","28,84,28,618",32,38
2014-15,NSW,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"4,25,37,457","4,92,55,503",6,7
2014-15,NSW,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"2,82,02,18,797","3,26,52,48,861",373,432
2014-15,NSW,Primary health care,Unreferred medical services,Non-government,Individuals,"17,46,43,270","20,22,25,115",23,27
2014-15,NSW,Primary health care,Unreferred medical services,Non-government,Other sources of fund,"54,22,34,629","62,78,71,090",72,83
2014-15,NSW,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"16,91,27,282","19,58,37,973",22,26
2014-15,NSW,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"4,28,63,79,578","4,96,33,38,144",567,656
2014-15,NSW,Referred medical services,Referred medical services,Australian Government,Premium rebates,"17,73,44,936","20,53,53,462",23,27
2014-15,NSW,Referred medical services,Referred medical services,Non-government,Health Insurance Funds,"43,65,89,102","50,55,40,703",58,67
2014-15,NSW,Referred medical services,Referred medical services,Non-government,Individuals,"1,06,05,76,520","1,22,80,76,002",140,162
2014-15,NSW,Research,Research,Australian Government,Department of Veterans' Affairs,0,0,0,0
2014-15,NSW,Research,Research,Australian Government,DoHAC and other,"1,29,06,64,711","1,57,13,19,264",171,208
2014-15,NSW,Research,Research,Non-government,Individuals,"7,60,358","9,25,697",0,0
2014-15,NSW,Research,Research,Non-government,Other sources of fund,"11,61,46,879","14,14,02,975",15,19
2014-15,NSW,Research,Research,State and local government,State and local government,"10,58,13,465","12,88,22,563",14,17
2014-15,NT,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"40,10,196","41,85,796",17,17
2014-15,NT,Capital expenditure,Capital expenditure,Non-government,Other sources of fund,"2,79,53,407","3,45,16,082",115,142
2014-15,NT,Capital expenditure,Capital expenditure,State and local government,State and local government,"8,90,00,000","10,65,76,698",367,439
2014-15,NT,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"16,23,000","19,71,649",7,8
2014-15,NT,Hospitals,Private hospitals,Australian Government,DoHAC and other,"1,37,707","1,66,968",1,1
2014-15,NT,Hospitals,Private hospitals,Australian Government,Premium rebates,"1,34,47,313","1,63,36,036",55,67
2014-15,NT,Hospitals,Private hospitals,Non-government,Health Insurance Funds,"3,31,03,872","4,02,15,174",136,166
2014-15,NT,Hospitals,Private hospitals,Non-government,Individuals,"2,67,19,077","3,24,58,811",110,134
2014-15,NT,Hospitals,Private hospitals,Non-government,Other sources of fund,"68,72,901","83,49,323",28,34
2014-15,NT,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"25,57,501","31,06,898",11,13
2014-15,NT,Hospitals,Public hospital services,Australian Government,DoHAC and other,"19,98,35,418","24,27,38,806",823,"1,000"
2014-15,NT,Hospitals,Public hospital services,Australian Government,Premium rebates,"8,34,721","10,14,034",3,4
2014-15,NT,Hospitals,Public hospital services,Non-government,Health Insurance Funds,"20,54,871","24,96,294",8,10
2014-15,NT,Hospitals,Public hospital services,Non-government,Individuals,"89,43,100","1,08,64,238",37,45
2014-15,NT,Hospitals,Public hospital services,Non-government,Other sources of fund,"1,91,24,864","2,32,33,226",79,96
2014-15,NT,Hospitals,Public hospital services,State and local government,State and local government,"45,49,97,463","55,27,39,027","1,874","2,277"
2014-15,NT,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"6,38,000","7,83,020",3,3
2014-15,NT,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-6,38,000","-7,83,020",-3,-3
2014-15,NT,Other services,Administration,Australian Government,Department of Veterans' Affairs,0,0,0,0
2014-15,NT,Other services,Administration,Australian Government,DoHAC and other,"1,77,07,468","2,17,02,786",73,89
2014-15,NT,Other services,Administration,Australian Government,Premium rebates,"26,01,181","31,92,440",11,13
2014-15,NT,Other services,Administration,Non-government,Health Insurance Funds,"64,03,608","78,59,172",26,32
2014-15,NT,Other services,Administration,Non-government,Individuals,"64,642","79,336",0,0
2014-15,NT,Other services,Administration,Non-government,Other sources of fund,"1,40,143","1,71,998",1,1
