eSituation_09,DiagnosisCodeDescr
I24.9,"Acute ischemic heart disease, unspecified"
I25.1,Atherosclerotic heart disease of native coronary artery
I25.10,Atherosclerotic heart disease of native coronary artery without angina pectoris
I25.119,Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris
I25.3,Aneurysm of heart
I25.41,Coronary artery aneurysm
I25.810,Atherosclerosis of coronary artery bypass graft(s) without angina pectoris
I25.9,"Chronic ischemic heart disease, unspecified"
I26,Pulmonary embolism
I26.02,Saddle embolus of pulmonary artery with acute cor pulmonale
I26.9,Pulmonary embolism without acute cor pulmonale
I26.93,Single subsegmental pulmonary embolism without acute cor pulmonale
I26.99,Other pulmonary embolism without acute cor pulmonale
I27,Other pulmonary heart diseases
I27.0,Primary pulmonary hypertension
I27.2,Other secondary pulmonary hypertension
I27.20,"Pulmonary hypertension, unspecified"
I27.23,Pulmonary hypertension due to lung diseases and hypoxia
I27.82,Chronic pulmonary embolism
I27.9,"Pulmonary heart disease, unspecified"
I30,Acute pericarditis
I30.9,"Acute pericarditis, unspecified"
I31.3,Pericardial effusion (noninflammatory)
I31.4,Cardiac tamponade
I33,Acute and subacute endocarditis
I33.9,"Acute and subacute endocarditis, unspecified"
I35.0,Nonrheumatic aortic (valve) stenosis
I37.8,Other nonrheumatic pulmonary valve disorders
I38,"Endocarditis, valve unspecified"
I40.9,"Acute myocarditis, unspecified"
I42.9,"Cardiomyopathy, unspecified"
I44.0,"Atrioventricular block, first degree"
I44.2,"Atrioventricular block, complete"
I44.30,Unspecified atrioventricular block
I44.7,"Left bundle-branch block, unspecified"
I45.5,Other specified heart block
I45.6,Pre-excitation syndrome
I46,Cardiac arrest
I46.2,Cardiac arrest due to underlying cardiac condition
I46.8,Cardiac arrest due to other underlying condition
I46.9,"Cardiac arrest, cause unspecified"
I47,Paroxysmal tachycardia
I47.1,Supraventricular tachycardia
I47.10,"Supraventricular tachycardia, unspecified"
I47.2,Ventricular tachycardia
I47.29,Other ventricular tachycardia
I47.9,"Paroxysmal tachycardia, unspecified"
I48,Atrial fibrillation and flutter
I48.1,Persistent atrial fibrillation
I48.19,Other persistent atrial fibrillation
I48.2,Chronic atrial fibrillation
I48.20,"Chronic atrial fibrillation, unspecified"
I48.3,Typical atrial flutter
I48.4,Atypical atrial flutter
I48.9,Unspecified atrial fibrillation and atrial flutter
I48.91,Unspecified atrial fibrillation
I48.92,Unspecified atrial flutter
I49,Other cardiac arrhythmias
I49.01,Ventricular fibrillation
I49.1,Atrial premature depolarization
I49.3,Ventricular premature depolarization
I49.4,Other and unspecified premature depolarization
I49.5,Sick sinus syndrome
I49.8,Other specified cardiac arrhythmias
I49.9,"Cardiac arrhythmia, unspecified"
I50,Heart failure
I50.2,Systolic (congestive) heart failure
I50.20,Unspecified systolic (congestive) heart failure
I50.21,Acute systolic (congestive) heart failure
I50.22,Chronic systolic (congestive) heart failure
I50.30,Unspecified diastolic (congestive) heart failure
I50.31,Acute diastolic (congestive) heart failure
I50.32,Chronic diastolic (congestive) heart failure
I50.4,Combined systolic (congestive) and diastolic (congestive) heart failure
I50.40,Unspecified combined systolic (congestive) and diastolic (congestive) heart failure
I50.41,Acute combined systolic (congestive) and diastolic (congestive) heart failure
I50.42,Chronic combined systolic (congestive) and diastolic (congestive) heart failure
I50.8,Other heart failure
I50.9,"Heart failure, unspecified"
I51.89,Other ill-defined heart diseases
I51.9,"Heart disease, unspecified"
I52,Other heart disorders in diseases classified elsewhere
I5A,Non-ischemic myocardial injury (non-traumatic)
I60,Nontraumatic subarachnoid hemorrhage
I60.6,Nontraumatic subarachnoid hemorrhage from other intracranial arteries
I60.9,"Nontraumatic subarachnoid hemorrhage, unspecified"
I61,Nontraumatic intracerebral hemorrhage
I61.2,"Nontraumatic intracerebral hemorrhage in hemisphere, unspecified"
I61.5,"Nontraumatic intracerebral hemorrhage, intraventricular"
I61.9,"Nontraumatic intracerebral hemorrhage, unspecified"
I62,Other and unspecified nontraumatic intracranial hemorrhage
I62.0,Nontraumatic subdural hemorrhage
I62.00,"Nontraumatic subdural hemorrhage, unspecified"
I62.01,Nontraumatic acute subdural hemorrhage
I62.1,Nontraumatic extradural hemorrhage
I62.9,"Nontraumatic intracranial hemorrhage, unspecified"
I63,Cerebral infarction
I63.09,Cerebral infarction due to thrombosis of other precerebral artery
I63.119,Cerebral infarction due to embolism of unspecified vertebral artery
I63.312,Cerebral infarction due to thrombosis of left middle cerebral artery
I63.412,Cerebral infarction due to embolism of left middle cerebral artery
I63.49,Cerebral infarction due to embolism of other cerebral artery
I63.50,Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebral artery
I63.89,Other cerebral infarction
I63.9,"Cerebral infarction, unspecified"
I65.29,Occlusion and stenosis of unspecified carotid artery
I65.8,Occlusion and stenosis of other precerebral arteries
I67.1,"Cerebral aneurysm, nonruptured"
I67.81,Acute cerebrovascular insufficiency
I67.82,Cerebral ischemia
I67.89,Other cerebrovascular disease
I67.9,"Cerebrovascular disease, unspecified"
I69,Sequelae of cerebrovascular disease
I69.028,Other speech and language deficits following nontraumatic subarachnoid hemorrhage
I69.039,Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting unspecified side
I69.051,Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right dominant side
I69.090,Apraxia following nontraumatic subarachnoid hemorrhage
I69.092,Facial weakness following nontraumatic subarachnoid hemorrhage
I69.292,Facial weakness following other nontraumatic intracranial hemorrhage
I69.30,Unspecified sequelae of cerebral infarction
I69.31,Cognitive deficits following cerebral infarction
I69.320,Aphasia following cerebral infarction
I69.321,Dysphasia following cerebral infarction
I69.322,Dysarthria following cerebral infarction
I69.339,Monoplegia of upper limb following cerebral infarction affecting unspecified side
I69.351,Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side
I69.352,Hemiplegia and hemiparesis following cerebral infarction affecting left dominant side
I69.359,Hemiplegia and hemiparesis following cerebral infarction affecting unspecified side
I69.391,Dysphagia following cerebral infarction
I69.392,Facial weakness following cerebral infarction
I69.819,Unspecified symptoms and signs involving cognitive functions following other cerebrovascular disease
I69.820,Aphasia following other cerebrovascular disease
I69.828,Other speech and language deficits following other cerebrovascular disease
I69.911,Memory deficit following unspecified cerebrovascular disease
I69.919,Unspecified symptoms and signs involving cognitive functions following unspecified cerebrovascular disease
I69.92,Speech and language deficits following unspecified cerebrovascular disease
I69.920,Aphasia following unspecified cerebrovascular disease
I69.922,Dysarthria following unspecified cerebrovascular disease
I69.952,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left dominant side
I69.959,Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting unspecified side
I69.992,Facial weakness following unspecified cerebrovascular disease
I70.229,"Atherosclerosis of native arteries of extremities with rest pain, unspecified extremity"
I70.292,"Other atherosclerosis of native arteries of extremities, left leg"
I70.421,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, right leg"
I70.569,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, unspecified extremity"
I70.90,Unspecified atherosclerosis
I70.92,Chronic total occlusion of artery of the extremities
I71,Aortic aneurysm and dissection
I71.0,Dissection of aorta
I71.00,Dissection of unspecified site of aorta
I71.01,Dissection of thoracic aorta
I71.02,Dissection of abdominal aorta
I71.3,"Abdominal aortic aneurysm, ruptured"
I71.30,"Abdominal aortic aneurysm, ruptured, unspecified"
I71.4,"Abdominal aortic aneurysm, without rupture"
I71.40,"Abdominal aortic aneurysm, without rupture, unspecified"
I71.8,"Aortic aneurysm of unspecified site, ruptured"
I71.9,"Aortic aneurysm of unspecified site, without rupture"
I72.4,Aneurysm of artery of lower extremity
I72.9,Aneurysm of unspecified site
I73.9,"Peripheral vascular disease, unspecified"
I74,Arterial embolism and thrombosis
I74.3,Embolism and thrombosis of arteries of the lower extremities
I74.4,"Embolism and thrombosis of arteries of extremities, unspecified"
I74.9,Embolism and thrombosis of unspecified artery
I77.0,"Arteriovenous fistula, acquired"
I79.0,Aneurysm of aorta in diseases classified elsewhere
I80.209,Phlebitis and thrombophlebitis of unspecified deep vessels of unspecified lower extremity
I82.4,Acute embolism and thrombosis of deep veins of lower extremity
I82.40,Acute embolism and thrombosis of unspecified deep veins of lower extremity
I82.401,Acute embolism and thrombosis of unspecified deep veins of right lower extremity
I82.402,Acute embolism and thrombosis of unspecified deep veins of left lower extremity
I82.409,Acute embolism and thrombosis of unspecified deep veins of unspecified lower extremity
I82.41,Acute embolism and thrombosis of femoral vein
I82.49,Acute embolism and thrombosis of other specified deep vein of lower extremity
I82.491,Acute embolism and thrombosis of other specified deep vein of right lower extremity
I82.492,Acute embolism and thrombosis of other specified deep vein of left lower extremity
I82.499,Acute embolism and thrombosis of other specified deep vein of unspecified lower extremity
I82.4Y,Acute embolism and thrombosis of unspecified deep veins of proximal lower extremity
I82.4Y1,Acute embolism and thrombosis of unspecified deep veins of right proximal lower extremity
I82.4Z,Acute embolism and thrombosis of unspecified deep veins of distal lower extremity
I82.4Z2,Acute embolism and thrombosis of unspecified deep veins of left distal lower extremity
I82.5,Chronic embolism and thrombosis of deep veins of lower extremity
I82.602,Acute embolism and thrombosis of unspecified veins of left upper extremity
I82.609,Acute embolism and thrombosis of unspecified veins of unspecified upper extremity
I82.621,Acute embolism and thrombosis of deep veins of right upper extremity
I82.629,Acute embolism and thrombosis of deep veins of unspecified upper extremity
I82.890,Acute embolism and thrombosis of other specified veins
I82.90,Acute embolism and thrombosis of unspecified vein
I82.91,Chronic embolism and thrombosis of unspecified vein
I82.A1,Acute embolism and thrombosis of axillary vein
I83,Varicose veins of lower extremities
I83.008,Varicose veins of unspecified lower extremity with ulcer other part of lower leg
I83.02,Varicose veins of left lower extremity with ulcer
I83.1,Varicose veins of lower extremities with inflammation
I83.212,Varicose veins of right lower extremity with both ulcer of calf and inflammation
I83.215,Varicose veins of right lower extremity with both ulcer other part of foot and inflammation
I83.81,Varicose veins of lower extremities with pain
I83.811,Varicose veins of right lower extremity with pain
I83.89,Varicose veins of lower extremities with other complications
I83.891,Varicose veins of right lower extremity with other complications
I83.892,Varicose veins of left lower extremity with other complications
I83.899,Varicose veins of unspecified lower extremity with other complications
I83.92,Asymptomatic varicose veins of left lower extremity
I85.0,Esophageal varices
I85.01,Esophageal varices with bleeding
I87.2,Venous insufficiency (chronic) (peripheral)
I87.3,Chronic venous hypertension (idiopathic)
I87.30,Chronic venous hypertension (idiopathic) without complications
I87.39,Chronic venous hypertension (idiopathic) with other complications
I87.399,Chronic venous hypertension (idiopathic) with other complications of unspecified lower extremity
I89.0,"Lymphedema, not elsewhere classified"
I95,Hypotension
I95.0,Idiopathic hypotension
I95.1,Orthostatic hypotension
I95.2,Hypotension due to drugs
I95.3,Hypotension of hemodialysis
I95.8,Other hypotension
I95.89,Other hypotension
I95.9,"Hypotension, unspecified"
I96,"Gangrene, not elsewhere classified"
I97.110,Postprocedural cardiac insufficiency following cardiac surgery
I97.12,Postprocedural cardiac arrest
I97.19,Other postprocedural cardiac functional disturbances
I97.3,Postprocedural hypertension
I97.42,Intraoperative hemorrhage and hematoma of a circulatory system organ or structure complicating other procedure
I97.5,Accidental puncture and laceration of a circulatory system organ or structure during a procedure
I97.51,Accidental puncture and laceration of a circulatory system organ or structure during a circulatory system procedure
I97.630,Postprocedural hematoma of a circulatory system organ or structure following a cardiac catheterization
I97.89,"Other postprocedural complications and disorders of the circulatory system, not elsewhere classified"
I99.8,Other disorder of circulatory system
I99.9,Unspecified disorder of circulatory system
J00,Acute nasopharyngitis [common cold]
J01.1,Acute frontal sinusitis
J01.10,"Acute frontal sinusitis, unspecified"
J01.90,"Acute sinusitis, unspecified"
J01.91,"Acute recurrent sinusitis, unspecified"
J02,Acute pharyngitis
J02.0,Streptococcal pharyngitis
J02.9,"Acute pharyngitis, unspecified"
J03,Acute tonsillitis
J03.00,"Acute streptococcal tonsillitis, unspecified"
J03.90,"Acute tonsillitis, unspecified"
J04.0,Acute laryngitis
J04.10,Acute tracheitis without obstruction
J04.11,Acute tracheitis with obstruction
J04.2,Acute laryngotracheitis
J05,Acute obstructive laryngitis [croup] and epiglottitis
J05.0,Acute obstructive laryngitis [croup]
J05.1,Acute epiglottitis
J05.10,Acute epiglottitis without obstruction
J05.11,Acute epiglottitis with obstruction
J06,Acute upper respiratory infections of multiple and unspecified sites
J06.9,"Acute upper respiratory infection, unspecified"
J09,Influenza due to certain identified influenza viruses
J09.X,Influenza due to identified novel influenza A virus
J09.X1,Influenza due to identified novel influenza A virus with pneumonia
J10,Influenza due to other identified influenza virus
J10.1,Influenza due to other identified influenza virus with other respiratory manifestations
J10.2,Influenza due to other identified influenza virus with gastrointestinal manifestations
J10.89,Influenza due to other identified influenza virus with other manifestations
J11,Influenza due to unidentified influenza virus
J11.00,Influenza due to unidentified influenza virus with unspecified type of pneumonia
J11.1,Influenza due to unidentified influenza virus with other respiratory manifestations
J11.2,Influenza due to unidentified influenza virus with gastrointestinal manifestations
J11.81,Influenza due to unidentified influenza virus with encephalopathy
J12,"Viral pneumonia, not elsewhere classified"
J12.0,Adenoviral pneumonia
J12.1,Respiratory syncytial virus pneumonia
J12.81,Pneumonia due to SARS-associated coronavirus
J12.82,Pneumonia due to coronavirus disease 2019
J12.89,Other viral pneumonia
J12.9,"Viral pneumonia, unspecified"
J15,"Bacterial pneumonia, not elsewhere classified"
J15.20,"Pneumonia due to staphylococcus, unspecified"
J15.9,Unspecified bacterial pneumonia
J16,"Pneumonia due to other infectious organisms, not elsewhere classified"
J16.8,Pneumonia due to other specified infectious organisms
J18,"Pneumonia, unspecified organism"
J18.0,"Bronchopneumonia, unspecified organism"
J18.1,"Lobar pneumonia, unspecified organism"
J18.2,"Hypostatic pneumonia, unspecified organism"
J18.8,"Other pneumonia, unspecified organism"
J18.9,"Pneumonia, unspecified organism"
J20,Acute bronchitis
J20.1,Acute bronchitis due to Hemophilus influenzae
J20.5,Acute bronchitis due to respiratory syncytial virus
J20.8,Acute bronchitis due to other specified organisms
J20.9,"Acute bronchitis, unspecified"
J21,Acute bronchiolitis
J21.0,Acute bronchiolitis due to respiratory syncytial virus
J21.8,Acute bronchiolitis due to other specified organisms
J21.9,"Acute bronchiolitis, unspecified"
J22,Unspecified acute lower respiratory infection
J30,Vasomotor and allergic rhinitis
J30.1,Allergic rhinitis due to pollen
J30.5,Allergic rhinitis due to food
J30.8,Other allergic rhinitis
J30.89,Other allergic rhinitis
J30.9,"Allergic rhinitis, unspecified"
J32.8,Other chronic sinusitis
J34,Other and unspecified disorders of nose and nasal sinuses
J34.2,Deviated nasal septum
J34.89,Other specified disorders of nose and nasal sinuses
J34.9,Unspecified disorder of nose and nasal sinuses
J36,Peritonsillar abscess
J39.0,Retropharyngeal and parapharyngeal abscess
J39.2,Other diseases of pharynx
J39.3,"Upper respiratory tract hypersensitivity reaction, site unspecified"
J39.8,Other specified diseases of upper respiratory tract
J39.9,"Disease of upper respiratory tract, unspecified"
J40,"Bronchitis, not specified as acute or chronic"
J43,Emphysema
J43.9,"Emphysema, unspecified"
J44,Other chronic obstructive pulmonary disease
J44.0,Chronic obstructive pulmonary disease with (acute) lower respiratory infection
J44.1,Chronic obstructive pulmonary disease with (acute) exacerbation
J44.9,"Chronic obstructive pulmonary disease, unspecified"
J45,Asthma
J45.2,Mild intermittent asthma
J45.21,Mild intermittent asthma with (acute) exacerbation
J45.42,Moderate persistent asthma with status asthmaticus
J45.5,Severe persistent asthma
J45.51,Severe persistent asthma with (acute) exacerbation
J45.52,Severe persistent asthma with status asthmaticus
J45.90,Unspecified asthma
J45.901,Unspecified asthma with (acute) exacerbation
J45.902,Unspecified asthma with status asthmaticus
J45.909,"Unspecified asthma, uncomplicated"
J45.99,Other asthma
J45.990,Exercise induced bronchospasm
J45.991,Cough variant asthma
J45.998,Other asthma
J47.0,Bronchiectasis with acute lower respiratory infection
J66,Airway disease due to specific organic dust
J67.0,Farmer's lung
J68,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapors"
J68.2,"Upper respiratory inflammation due to chemicals, gases, fumes and vapors, not elsewhere classified"
J68.9,"Unspecified respiratory condition due to chemicals, gases, fumes and vapors"
J69.0,Pneumonitis due to inhalation of food and vomit
J70.5,Respiratory conditions due to smoke inhalation
J70.8,Respiratory conditions due to other specified external agents
J70.9,Respiratory conditions due to unspecified external agent
J80,Acute respiratory distress syndrome
J81,Pulmonary edema
J81.0,Acute pulmonary edema
J81.1,Chronic pulmonary edema
J84.10,"Pulmonary fibrosis, unspecified"
J84.115,Respiratory bronchiolitis interstitial lung disease
J85.1,Abscess of lung with pneumonia
J85.3,Abscess of mediastinum
J90,"Pleural effusion, not elsewhere classified"
J91.0,Malignant pleural effusion
J93,Pneumothorax and air leak
J93.0,Spontaneous tension pneumothorax
J93.11,Primary spontaneous pneumothorax
J93.82,Other air leak
J93.83,Other pneumothorax
J93.9,"Pneumothorax, unspecified"
J94.2,Hemothorax
J95.0,Tracheostomy complications
J95.00,Unspecified tracheostomy complication
J95.01,Hemorrhage from tracheostomy stoma
J95.03,Malfunction of tracheostomy stoma
J95.09,Other tracheostomy complication
J95.821,Acute postprocedural respiratory failure
J95.85,Complication of respirator [ventilator]
J95.859,Other complication of respirator [ventilator]
J96,"Respiratory failure, not elsewhere classified"
J96.0,Acute respiratory failure
J96.00,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia"
J96.01,Acute respiratory failure with hypoxia
J96.02,Acute respiratory failure with hypercapnia
J96.1,Chronic respiratory failure
J96.10,"Chronic respiratory failure, unspecified whether with hypoxia or hypercapnia"
J96.11,Chronic respiratory failure with hypoxia
J96.2,Acute and chronic respiratory failure
J96.20,"Acute and chronic respiratory failure, unspecified whether with hypoxia or hypercapnia"
J96.21,Acute and chronic respiratory failure with hypoxia
J96.22,Acute and chronic respiratory failure with hypercapnia
J96.9,"Respiratory failure, unspecified"
J96.90,"Respiratory failure, unspecified, unspecified whether with hypoxia or hypercapnia"
J96.91,"Respiratory failure, unspecified with hypoxia"
J96.92,"Respiratory failure, unspecified with hypercapnia"
J98,Other respiratory disorders
J98.01,Acute bronchospasm
J98.8,Other specified respiratory disorders
J98.9,"Respiratory disorder, unspecified"
J99,Respiratory disorders in diseases classified elsewhere
K00.4,Disturbances in tooth formation
K00.8,Other disorders of tooth development
K02.9,"Dental caries, unspecified"
K03.1,Abrasion of teeth
K03.81,Cracked tooth
K04.7,Periapical abscess without sinus
K08.4,Partial loss of teeth
K08.41,Partial loss of teeth due to trauma
K08.411,"Partial loss of teeth due to trauma, class I"
K08.8,Other specified disorders of teeth and supporting structures
K08.89,Other specified disorders of teeth and supporting structures
K08.9,"Disorder of teeth and supporting structures, unspecified"
K11.8,Other diseases of salivary glands
K12.2,Cellulitis and abscess of mouth
K13.29,"Other disturbances of oral epithelium, including tongue"
K13.70,Unspecified lesions of oral mucosa
K13.79,Other lesions of oral mucosa
K14.0,Glossitis
K14.8,Other diseases of tongue
K14.9,"Disease of tongue, unspecified"
K20.91,"Esophagitis, unspecified with bleeding"
K21,Gastro-esophageal reflux disease
K21.0,Gastro-esophageal reflux disease with esophagitis
K21.9,Gastro-esophageal reflux disease without esophagitis
K22.0,Achalasia of cardia
K22.2,Esophageal obstruction
K22.3,Perforation of esophagus
K25,Gastric ulcer
K25.0,Acute gastric ulcer with hemorrhage
K25.3,Acute gastric ulcer without hemorrhage or perforation
K25.7,Chronic gastric ulcer without hemorrhage or perforation
K25.9,"Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation"
K26.0,Acute duodenal ulcer with hemorrhage
K26.2,Acute duodenal ulcer with both hemorrhage and perforation
K28.0,Acute gastrojejunal ulcer with hemorrhage
K29.0,Acute gastritis
K29.00,Acute gastritis without bleeding
K29.01,Acute gastritis with bleeding
K29.21,Alcoholic gastritis with bleeding
K29.51,Unspecified chronic gastritis with bleeding
K29.61,Other gastritis with bleeding
K29.70,"Gastritis, unspecified, without bleeding"
K29.71,"Gastritis, unspecified, with bleeding"
K29.90,"Gastroduodenitis, unspecified, without bleeding"
K29.91,"Gastroduodenitis, unspecified, with bleeding"
K30,Functional dyspepsia
K31,Other diseases of stomach and duodenum
K31.5,Obstruction of duodenum
K31.8,Other specified diseases of stomach and duodenum
K31.84,Gastroparesis
K31.9,"Disease of stomach and duodenum, unspecified"
K35,Acute appendicitis
K35.2,Acute appendicitis with generalized peritonitis
K35.80,Unspecified acute appendicitis
K35.89,Other acute appendicitis
K37,Unspecified appendicitis
K40,Inguinal hernia
K40.90,"Unilateral inguinal hernia, without obstruction or gangrene, not specified as recurrent"
K40.91,"Unilateral inguinal hernia, without obstruction or gangrene, recurrent"
K41.9,"Unilateral femoral hernia, without obstruction or gangrene"
K42,Umbilical hernia
K45,Other abdominal hernia
K45.8,Other specified abdominal hernia without obstruction or gangrene
K46,Unspecified abdominal hernia
K46.0,"Unspecified abdominal hernia with obstruction, without gangrene"
K46.1,Unspecified abdominal hernia with gangrene
K46.9,Unspecified abdominal hernia without obstruction or gangrene
K50,Crohn's disease [regional enteritis]
K50.0,Crohn's disease of small intestine
K50.8,Crohn's disease of both small and large intestine
K50.90,"Crohn's disease, unspecified, without complications"
K50.911,"Crohn's disease, unspecified, with rectal bleeding"
K51.011,Ulcerative (chronic) pancolitis with rectal bleeding
K51.41,Inflammatory polyps of colon with complications
K51.411,Inflammatory polyps of colon with rectal bleeding
K51.511,Left sided colitis with rectal bleeding
K51.80,Other ulcerative colitis without complications
K51.811,Other ulcerative colitis with rectal bleeding
K51.911,"Ulcerative colitis, unspecified with rectal bleeding"
K52,Other and unspecified noninfective gastroenteritis and colitis
K52.81,Eosinophilic gastritis or gastroenteritis
K52.9,"Noninfective gastroenteritis and colitis, unspecified"
K56.1,Intussusception
K56.3,Gallstone ileus
K56.41,Fecal impaction
K56.6,Other and unspecified intestinal obstruction
K56.60,Unspecified intestinal obstruction
K56.600,"Partial intestinal obstruction, unspecified as to cause"
K56.609,"Unspecified intestinal obstruction, unspecified as to partial versus complete obstruction"
K56.69,Other intestinal obstruction
K56.690,Other partial intestinal obstruction
K56.699,Other intestinal obstruction unspecified as to partial versus complete obstruction
K57,Diverticular disease of intestine
K57.12,Diverticulitis of small intestine without perforation or abscess without bleeding
K57.13,Diverticulitis of small intestine without perforation or abscess with bleeding
K57.32,Diverticulitis of large intestine without perforation or abscess without bleeding
K57.51,Diverticulosis of both small and large intestine without perforation or abscess with bleeding
K57.91,"Diverticulosis of intestine, part unspecified, without perforation or abscess with bleeding"
K57.92,"Diverticulitis of intestine, part unspecified, without perforation or abscess without bleeding"
K58,Irritable bowel syndrome
K58.0,Irritable bowel syndrome with diarrhea
K58.1,Irritable bowel syndrome with constipation
K58.8,Other irritable bowel syndrome
K58.9,Irritable bowel syndrome without diarrhea
K59.0,Constipation
K59.00,"Constipation, unspecified"
K59.03,Drug induced constipation
K59.09,Other constipation
K59.1,Functional diarrhea
K59.9,"Functional intestinal disorder, unspecified"
K61,Abscess of anal and rectal regions
K61.1,Rectal abscess
K61.2,Anorectal abscess
K62,Other diseases of anus and rectum
K62.1,Rectal polyp
K62.2,Anal prolapse
K62.3,Rectal prolapse
K62.5,Hemorrhage of anus and rectum
K62.89,Other specified diseases of anus and rectum
K62.9,"Disease of anus and rectum, unspecified"
K63.1,Perforation of intestine (nontraumatic)
K63.2,Fistula of intestine
K64.0,First degree hemorrhoids
K64.1,Second degree hemorrhoids
K64.3,Fourth degree hemorrhoids
K64.8,Other hemorrhoids
K64.9,Unspecified hemorrhoids
K65.0,Generalized (acute) peritonitis
K65.1,Peritoneal abscess
K70,Alcoholic liver disease
K70.11,Alcoholic hepatitis with ascites
K70.3,Alcoholic cirrhosis of liver
K70.30,Alcoholic cirrhosis of liver without ascites
K70.31,Alcoholic cirrhosis of liver with ascites
K70.4,Alcoholic hepatic failure
K70.41,Alcoholic hepatic failure with coma
K70.9,"Alcoholic liver disease, unspecified"
K71.6,"Toxic liver disease with hepatitis, not elsewhere classified"
K72.00,Acute and subacute hepatic failure without coma
K72.1,Chronic hepatic failure
K72.9,"Hepatic failure, unspecified"
K72.90,"Hepatic failure, unspecified without coma"
K74.60,Unspecified cirrhosis of liver
K74.69,Other cirrhosis of liver
K76.89,Other specified diseases of liver
K76.9,"Liver disease, unspecified"
K77,Liver disorders in diseases classified elsewhere
K80.1,Calculus of gallbladder with other cholecystitis
K80.20,Calculus of gallbladder without cholecystitis without obstruction
K80.30,"Calculus of bile duct with cholangitis, unspecified, without obstruction"
K80.50,Calculus of bile duct without cholangitis or cholecystitis without obstruction
K81.0,Acute cholecystitis
K81.9,"Cholecystitis, unspecified"
K82.0,Obstruction of gallbladder
K82.9,"Disease of gallbladder, unspecified"
K83,Other diseases of biliary tract
K85,Acute pancreatitis
K85.0,Idiopathic acute pancreatitis
K85.9,"Acute pancreatitis, unspecified"
K85.90,"Acute pancreatitis without necrosis or infection, unspecified"
K86.1,Other chronic pancreatitis
K90.9,"Intestinal malabsorption, unspecified"
K91.0,Vomiting following gastrointestinal surgery
K92,Other diseases of digestive system
K92.0,Hematemesis
K92.1,Melena
K92.2,"Gastrointestinal hemorrhage, unspecified"
K92.9,"Disease of digestive system, unspecified"
K94.0,Colostomy complications
K94.00,"Colostomy complication, unspecified"
K94.01,Colostomy hemorrhage
K94.03,Colostomy malfunction
K94.09,Other complications of colostomy
K94.2,Gastrostomy complications
K94.20,"Gastrostomy complication, unspecified"
K94.21,Gastrostomy hemorrhage
K94.22,Gastrostomy infection
K94.23,Gastrostomy malfunction
K94.29,Other complications of gastrostomy
K94.30,"Esophagostomy complications, unspecified"
L02.01,Cutaneous abscess of face
L02.11,Cutaneous abscess of neck
L02.214,Cutaneous abscess of groin
L02.219,"Cutaneous abscess of trunk, unspecified"
L02.31,Cutaneous abscess of buttock
L02.419,"Cutaneous abscess of limb, unspecified"
L02.811,"Cutaneous abscess of head [any part, except face]"
L02.818,Cutaneous abscess of other sites
L02.82,Furuncle of other sites
L02.91,"Cutaneous abscess, unspecified"
L03.01,Cellulitis of finger
L03.031,Cellulitis of right toe
L03.1,Cellulitis and acute lymphangitis of other parts of limb
L03.11,Cellulitis of other parts of limb
L03.113,Cellulitis of right upper limb
L03.114,Cellulitis of left upper limb
L03.115,Cellulitis of right lower limb
L03.116,Cellulitis of left lower limb
L03.119,Cellulitis of unspecified part of limb
L03.222,Acute lymphangitis of neck
L03.314,Cellulitis of groin
L03.317,Cellulitis of buttock
L03.324,Acute lymphangitis of groin
L03.327,Acute lymphangitis of buttock
L03.8,Cellulitis and acute lymphangitis of other sites
L03.81,Cellulitis of other sites
L03.811,"Cellulitis of head [any part, except face]"
L03.818,Cellulitis of other sites
L03.9,"Cellulitis and acute lymphangitis, unspecified"
L03.90,"Cellulitis, unspecified"
L03.91,"Acute lymphangitis, unspecified"
L04.0,"Acute lymphadenitis of face, head and neck"
L08.0,Pyoderma
L08.8,Other specified local infections of the skin and subcutaneous tissue
L08.89,Other specified local infections of the skin and subcutaneous tissue
L08.9,"Local infection of the skin and subcutaneous tissue, unspecified"
L23,Allergic contact dermatitis
L23.2,Allergic contact dermatitis due to cosmetics
L23.5,Allergic contact dermatitis due to other chemical products
L23.6,Allergic contact dermatitis due to food in contact with the skin
L23.8,Allergic contact dermatitis due to other agents
L23.89,Allergic contact dermatitis due to other agents
L23.9,"Allergic contact dermatitis, unspecified cause"
L24.5,Irritant contact dermatitis due to other chemical products
L24.9,"Irritant contact dermatitis, unspecified cause"
L25.9,"Unspecified contact dermatitis, unspecified cause"
L29,Pruritus
L29.8,Other pruritus
L29.9,"Pruritus, unspecified"
L30.9,"Dermatitis, unspecified"
L45,Papulosquamous disorders in diseases classified elsewhere
L50,Urticaria
L50.0,Allergic urticaria
