eProcedures_03,ProcedureCodeDescr
385714005,Cardiac care assessment
385728004,Spiritual comfort
385750003,Intake and output measurement management
385754007,Intravenous care assessment
385756009,Intravenous care management
385757000,Venous catheter care
385775004,Informing nurse
385778002,Nursing status report
385799004,Allergic reaction control assessment
385807002,Gastrostomy/nasogastric tube care assessment
385809004,Gastrostomy/nasogastric tube care management
385810009,Gastrostomy/nasogastric tube insertion assessment
385812001,Gastrostomy/nasogastric tube insertion management
385822007,Universal precautions
385857005,Ventilator care and adjustment
385858000,Tracheostomy care
385869002,Safety precautions assessment
385873004,Environmental safety management
385895000,Comfort care assessment
385897008,Comfort care management
385941006,Wound care assessment
385942004,Wound care management
385944003,Maintenance of drainage tube
385949008,Dressing change management
385981004,Safety education
386053000,Evaluation procedure
386216000,"Human parturition, function"
386220001,Control of wound hemorrhage
386230005,Case management
386235000,Childbirth preparation
386237008,Circulatory care: mechanical assist device
386240008,Cardiopulmonary resuscitation management
386284008,Environmental management: comfort
386328006,Hypoglycemia management
386329003,Treatment of hypothermia
386335003,Infection protection
386340006,Intravenous therapy
386341005,Invasive hemodynamic monitoring
386344002,Laboratory data interpretation
386356001,Administration of drug or medicament via intramuscular route
386357005,Administration of drug or medicament via intraosseous route
386358000,Administration of drug or medicament via intravenous route
386359008,Administration of drug or medicament via oral route
386362006,Administration of drug or medicament via subcutaneous route
386423001,Physical restraint
386444001,Spiritual support
386451005,Substance use treatment: overdose
386472008,Telephone consultation
386482009,Maintenance of umbilical catheter
386483004,Tube care: urinary
386484005,Ventriculostomy/lumbar drain care
386493006,Venous access device maintenance
386495004,Vomiting management
386508008,Airway insertion and stabilization
386509000,Airway management
386510005,Amputation care
386518003,Artificial airway management
386519006,Aspiration precautions
386521001,Bedside laboratory testing
386533006,Invasive blood pressure
386534000,Arterial blood pressure
386554004,Glasgow coma scale
386609006,Procedure on vein
386725007,Body temperature
386741008,Maintenance of tube
386812007,Safety precautions
386960009,Tranexamic acid
387377009,Calcium chloride
387404004,Glyceryl trinitrate
387423006,Propofol
387440002,Acetylcysteine
387517004,Paracetamol
387641007,Thoracectomy
3895009,Application of dressing
390809004,Emergency mental health assessment
390812001,Secure and high-dependency mental health care
391034007,Refer for falls assessment
391281002,Mental health assessment
391395002,Blood oxygen saturation (calculated)
391682002,Elastic conforming bandage
392020005,Peripherally inserted central catheter care
392230005,Catheterization of vein
392231009,Intravenous cannulation
392247006,Insertion of catheter into artery
392248001,Arterial cannula insertion
392570002,Blood pressure finding
392571003,Finding of arterial pulse pressure
3926003,Lactic acid measurement
394618009,Hospital nurse
394696007,Discussed with doctor
394819004,Blood transfusion (specialty)
394903005,Intravenous administration of treatment
394906002,Procedure started
394908001,Procedure stopped
395008009,Medication stopped - contra-indication
395087001,Pain and symptom management
395170001,Medication monitoring
395321006,Foley catheter long term use
395683001,Born by normal vaginal delivery
396073008,Medication administration assessment
396074002,Medication administration education
396540005,Phlebotomy
396543007,Blood draw via femoral vein
396550006,Blood test
397798009,Creatine kinase measurement
397799001,Tourniquet off
397804006,Intubation of esophagus
397814002,Mode of ventilation monitoring
397815001,Administration of cardiovascular drug to increase oxygen delivery
397832002,Transcranial cerebral oximetry
397844004,Hydrotherapy with hot packs or compresses
397849009,Dialysis catheter
397874007,Endotracheal or endobronchial tube change over tube exchange catheter
397892004,Retrograde intubation
397901004,Pre-existing line accessed
397957008,Mechanical assistance to circulation to increase oxygen delivery
397958003,Accessing of implantable venous access port
397964005,Bronchial suction via tracheostomy
397970004,Triple lumen catheter
397982008,Insertion of device into airway
398041008,Cervical spine immobilization
398074008,Thermotherapy with hot packs
398084009,Rapid infusion catheter
398142004,Emergency cricothyroidotomy
398176008,Peripherally inserted central catheter
398213004,Log roll
398215006,Timestamp
398251004,Intubating laryngeal mask airway
398292008,Positive end-expiratory pressure monitoring
398299004,Time of death
398740003,Colostomy
399009009,B mode ultrasound
399052009,Aortic balloon pump operation
399064001,Two dimensional mode ultrasound - action
399208008,Plain X-ray of chest
399217008,Cardioassist by aortic balloon pump
399488007,Midline
4003003,Disease caused by Alphavirus
40043006,Bottle feeding of patient
401061005,Mental health review
401069007,Blood glucose control education
401135008,Asthma education
401303003,Acute ST segment elevation myocardial infarction
401304009,Service of nebulizer
40174006,Isolation procedure
401932007,Blood glucose colorimetric testing strips
40199007,Supine body position
404229004,Activation function
404684003,Clinical finding
404915007,Vacuum assisted skin closure
404996007,Airway patency status
405015004,Thermoregulation status: newborn
405022007,Neurological status: central motor control
405176005,Blood glucose status
405260009,Mode of ventilation monitoring features
405262001,Point of care testing
405425001,Catheterization of internal jugular vein
405427009,Catheterization of external jugular vein
405428004,Removal of catheter from external jugular vein
405429007,Catheterization of vein of upper limb
405430002,Catheterization of subclavian vein
405436008,Catheterization of vein of lower limb
405442007,Catheterization of common femoral vein
405592006,Insertion of subcutaneous intravenous access reservoir
405604008,Airway device cuff herniation
405616002,Airway event
405628005,Physician consent obtained
405639008,Inadvertent tracheal extubation
405640005,Airway device insertion event
405657009,Intravenous induction by target-controlled infusion
405677002,Rapid infusion device
405682009,Supervisory status
405688008,Legal physical restraint procedure
405689000,Legal physical restraint performed
405690009,Placing handcuffs for legal restraint
405691008,Handcuffs placed for legal restraint
405802009,Initial coronary reperfusion decision maker
405805006,Cardiac resuscitation outcome
40594005,Taking arterial blood pressure
406141002,Discussion with family about decision
406148008,Site of intravenous insertion
406149000,Medication declined
406152008,Admission assessment
406164000,Chemical restraint
40617009,Artificial ventilation
406172003,Administration of drug or medicament via nasal route
406173008,Phlebotomy: cannulated vessel
406185000,Trauma therapy
406187008,Sedation management
407574002,Informing partner
408014001,Soft foam cervical collar
408097009,Strip
408099007,Suture
408259000,Serum pro-brain natriuretic peptide level
408344008,Generic prescribing checked
408452007,Behavioral intervention team
408478003,Critical care medicine
408589008,Falls assessment
408806008,Fetal heart monitoring using hand held Doppler
408819007,Delivery of placenta by maternal effort
408867002,Taking respiratory rate
408879002,Gastric care management
408919008,Psychosocial care
408950005,Acute pain control
408951009,Acute pain control management
408952002,Acute pain control assessment
408974008,Neurovascular care assessment
408987002,Newborn care assessment
408989004,Newborn care management
408990008,Child care assessment
408994004,Adult care assessment
408998001,Adolescent care assessment
409006000,Delivery care
409012005,Delivery care assessment
409014006,Delivery care management
409022004,Dispensing medication management
409025002,Ventilator care
409073007,Education
409088002,Tube care: endotracheal
409378005,Product containing nitric oxide
409522005,Standard precautions
409524006,Airborne precautions
409525007,Respiratory secretion precautions
409526008,Personal protective equipment
409527004,Protective cover gown
409528009,Surgical face mask
409529001,Contact precautions
409530006,Decontamination
409542001,Level C personal protective equipment
409583003,Transmission-based precautions
409611004,Aerobic blood culture
409612006,Anaerobic blood culture
409685000,Hospital decontamination room
410011004,Administration of anesthesia AND/OR sedation
410024004,Catheterization of urinary bladder
410025003,Application of clamp
410075001,Patient transfer assessment
410099001,Reality orientation assessment
410103006,Stress control education
410109005,Venous catheter care management
410140003,Physician contact assessment
410141004,Physician contact education
410142006,Physician contact management
410143001,Medical regimen orders assessment
410145008,Medical regimen orders management
410181006,Universal precautions management
410188000,Taking patient vital signs assessment
410189008,Taking patient vitals signs education
410191000,Temperature taking assessment
410193002,Temperature taking management
410196005,Pulse taking management
410202008,Oxygen therapy assessment
410204009,Oxygen therapy management
410207002,Respiratory care management
410208007,Ventilator care assessment
410210009,Ventilator care management
410211008,Tracheostomy care assessment
410213006,Tracheostomy care management
410251006,Urinary catheter care assessment
410253009,Urinary catheter care management
410254003,Urinary catheter insertion assessment
410256001,Urinary catheter insertion management
410321003,"Wellness health education, guidance, and counseling"
410330006,Dressing change/wound care case management
410366007,Wellness case management
410394004,Lab findings surveillance
410429000,Cardiac arrest
410537005,Action status unknown
410617001,Adjustment
41157002,"Immobilizer, device"
412928005,Blood glucose series
413292001,Assessment for referral
413293006,Patient to initiate further contact
413311005,Patient non-compliant - declined intervention / support
413433006,Active monitoring
41351007,Suction and cleaning of tracheostomy tube
413815006,Chest imaging
413899004,Compression bandaging
414039005,Distraction
414191008,Fall risk assessment
414273009,Fluorescein staining of eye
414547000,Product containing isopropyl alcohol
414925007,Obtaining consent
415045008,Patient monitoring equipment check
415682000,Surgical time out
415699004,T piece with bag and adjustable pressure-limiting valve
415882003,Estimated core body temperature measured in axillary region
415922000,Temperature of forehead
415974002,Core body temperature measured at tympanic membrane
416115001,Confirming patient identity by direct questioning
416237000,Procedure not done
416238005,Intubation technique
416287007,Confirming patient identity by guardian interview
416406003,Procedure discontinued
416524004,Time of illness onset
416539003,Cannula procedure
416608005,Drug therapy
416811008,Tidal volume setting
417255000,Intraosseous route
417336003,Confirming patient identity by wristband
417746004,Traumatic injury
418114005,Intravenous central route
418243009,Education reinforced
418389000,Blood sugar management
418394000,Ultrasound scan of abdomen and pelvis
418441008,Orogastric route
418473002,Physician notified
418613003,Tracheal intubation through a laryngeal mask airway
418976004,Ultrasound scan of cardiac vessels
419183001,Practitioner decision status
419394006,Computed tomography of abdomen and pelvis
419620001,Death
419663003,Airway device present
419991009,Endotracheal tube present
419993007,Intravenous peripheral route
420135007,Whole blood
420404007,Urinary catheterization status
420416001,Inflatable splint device
420572009,Forced air warming blanket
420620005,Push - dosing instruction imperative
420673005,Magill type endotracheal tube
420717009,Finding of pulse taking by doppler
421335007,Warming blanket
42149003,Special care of wound
421585002,Warming mattress
421634004,Pelvic splint device
421685007,Product containing ipratropium and salbutamol
421925007,Extrication splint device
422223008,Traction splint device
422390002,Injury caused by taser
422440002,Adult continuous physical assessment
422618004,Continuous physical assessment
422649009,"Community outreach worker services education, guidance, and counseling"
422744007,Arterial catheter care
422779009,Elevation of affected extremity
422797001,"Magill forceps, device"
422865007,"Interpreter/translator services education, guidance, counseling"
422952004,Cardiac telemetry
423171007,Elevation of head of bed
423184003,Adult pain assessment
423191000,Cardiac arrest due to cardiac disorder
423212001,Trendelenburg positioning
42340005,Pulmonary artery wedge pressure monitoring
423401003,Pediatric pain assessment
423479002,Pediatric admission assessment
423508006,Maintenance of percutaneous endoscopic gastrostomy tube
423509003,"Medication coordination/ordering education, guidance, counseling"
423558004,Neurovascular assessment
423564006,Provider instructions for treatment
423589000,Newborn continuous physical assessment
423652009,Determination of resuscitation status
423687009,Peripheral intravenous catheter care
423736003,Color Doppler ultrasound
423765009,Taser
423827005,Endoscopy
423850004,Pediatric continuous physical assessment
423877008,Peripheral catheter care
423895006,Adult admission assessment
423954007,Peripheral catheter
424067002,Genitourinary assessment
424128006,Decompression
424172009,Dual pressure spontaneous ventilation support weaning protocol
424287005,Removal of peripheral intravenous catheter
424411004,Peripheral pulse taking
424432007,Epidural catheter maintenance
42451009,"Blood warmer, device"
424979004,Laryngeal mask airway insertion
424985006,Infection precautions surveillance
425058005,Taking orthostatic vital signs
425074000,Conversion of intravenous infusion to saline lock
425196008,Insertion of peripherally inserted central catheter
425315000,Cardiac assessment
425401001,Pain intensity rating scale
425478008,Blow by oxygen mask
425490005,Protective equipment used
42550007,Catheterization of umbilical vein
425519007,Cardiopulmonary resuscitation discontinued due to medical control order
425529000,Cardiomemo electrocardiographic monitoring
425543005,Digital respired carbon dioxide monitoring
425598000,Central pulses present
425604002,Case management follow up
425696007,Manual respiratory assistance using bag and mask
425808002,18 lead electrocardiographic monitoring
425863008,Endotracheal tube negative pressure monitoring
425921008,Cardiopulmonary resuscitation discontinued due to do not resuscitate order
425934009,Cardioverter defibrillator procedure
426152002,Active radiant warming of infant
426153007,Insertion of artificial airway
426160001,Oxygen ventilator
426220008,External ventricular defibrillation
426347000,Thrombolytic therapy
426408003,Semi-Fowler's position
426426000,Emergency foil blanket
426498007,Stabilization of spine
426509009,Removal of ring from digit of hand
426518006,Transfusion of granulocytes
426730003,Computed tomography angiography of thorax with contrast
426792009,Cervical spine normal
426851007,Aerosol oxygen mask
426854004,High flow oxygen nasal cannula
426865009,3D mode ultrasound
426961001,Biphasic cardioversion procedure
426970003,Cardiopulmonary resuscitation discontinued due to return of spontaneous circulation
426999008,Cardiopulmonary resuscitation discontinued due to signs of death
427035008,Nitrous oxide and oxygen gas analgesia
427054008,Non-rigid stabilization of spine
427064004,Continuous pulse oximetry
427206005,Post fall assessment
427277002,Application of gauze swab
427331009,Digital assisted intubation
427561002,Modified jaw thrust
427569000,Cardiopulmonary resuscitation discontinued as per protocol
427591007,Nonrebreather oxygen mask
427753009,Insertion of esophageal tracheal double lumen supraglottic airway
427996005,Application of vacuum splint
428070008,Vacuum splint
42825003,Cannulation
42826002,Systemic arterial pressure monitoring
428285009,Venturi mask
428348004,Cardiopulmonary resuscitation not attempted
428413005,Death verification
428426009,Notification of physician
428482009,Colorimetric respired carbon dioxide monitoring
428626000,Securing endotracheal tube using tape
428632005,Transportation request
428672001,Bag - unit of product usage
428803005,3 lead electrocardiographic monitoring
428909008,Biphasic defibrillation procedure
429091008,Dependence on biphasic positive airway pressure ventilation
429161001,Insertion of endotracheal tube using laryngoscope
429163003,15 lead electrocardiographic monitoring
429184008,Securing endotracheal tube using holder
429202003,Transfer of care to hospital
429253002,Oxygen administration by Venturi mask
429283006,Mechanically assisted chest compression
429375002,Esophageal tracheal double lumen supraglottic airway device
429500007,Monophasic defibrillation
42953002,Infestation of genitourinary system caused by fly larvae
429618000,Manual securing of endotracheal tube
429705000,Insertion of esophageal tracheal combitube
429723008,Procedure involving urinary catheter
429734006,Intubation using medication
429858000,Computed tomography of head and neck
430033006,Infusion pump
430191008,Management of noninvasive mechanical ventilation
430193006,Medication reconciliation
430354007,Application of upper extremity splint
430362004,Application of lower extremity splint
430365002,Application of short leg splint
430531002,Tamponade of anterior nasal bleeding using nasal tampon
43060002,Intravenous injection
430715008,Bariatric operative procedure
430824005,Intraosseous cannulation
431069006,Packed red blood cells
431182000,Placing subject in prone position
431201000124107,"Semi-occlusive dressing, device"
431208008,Active core warming of subject
431267001,Advanced cardiac life support
431393006,Administration of intravenous fluid bolus
431414003,Management of external defibrillation
431463004,Administration of aspirin
431503003,Application of shoulder immobilizer
431774007,Active external cooling of subject
431807005,Body temperature taken with digital thermometer
431917004,Active core cooling of subject
431949004,Active external warming of subject
432028000,Checking position of endotracheal tube by auscultation
432138007,Handoff communication
432370003,Computed tomography of abdomen and pelvis with contrast
432701000124107,Medication therapy changed
432987005,Checking position of endotracheal tube using exhaled carbon dioxide
433066006,Administration of substance via sublingual route
433111008,Computed tomography of brain perfusion
433215005,Administration of drug or medicament by intravenous push
433236007,Transthoracic echocardiography
433295009,Infusion pump for enteral feeding
433296005,Infusion pump for intravenous fluids
433340000,Application of long arm splint
433341001,Application of long leg splint
433695001,Warming subject using infusion of warm intravenous fluid
433795008,Cooling subject by infusion of cold intravenous fluid
433853007,Infusion of drug or medicament via intravenous drip
43396009,Hemoglobin A1c measurement
434111000124102,Suspected cerebrovascular accident
434912009,Blood glucose concentration
434941000124101,Not provided
435551000124105,Counseling about physical activity
435611000124105,"Multivitamin, multimineral supplement therapy"
43725001,Airway device
43770009,Doppler device
438227006,Product containing naloxone in parenteral dose form
438810005,Adjustment of arm sling
438886009,Active external warming of subject using heat pad
439114007,Giving cool drink
439302009,Control of anterior nasal bleeding
439417007,Closed manual reduction - action
439472009,Passive cooling of patient
439535000,Application of short arm splint
439569004,Resuscitation
439742002,Respiratory isolation
439864002,Focused assessment with ultrasonography for trauma
439926003,Ambulatory continuous glucose monitoring of interstitial tissue fluid
440001000,Insertion of vascular cannula for prolonged extracorporeal circulation
440009003,Insertion of needle for intraosseous infusion
440141007,Active external warming of subject using electric blanket
440142000,Cardioversion using medication
440311000,Suprapubic urinary catheter in situ
440699009,Control of posterior nasal bleeding
440942004,Decrease temperature of infant incubator
441300002,Increase temperature of infant incubator
441441000124106,Management of flushing of feeding tube
441550005,Urinalysis with reflex to microscopy and culture
441893003,Active compression decompression cardiopulmonary resuscitation with use of inspiratory impedance threshold device
441898007,Consented
441965001,Measurement of methemoglobin
442013003,Measurement of corrected end-tidal carbon monoxide
442309004,Insertion of tunneled venous catheter
442339009,Measurement of pH in vaginal fluid specimen using nitrazine yellow for detection of rupture of amniotic membrane
442392002,Ambulance transport to hospital declined
442477002,Monitoring of cardiac output using pulse contour analysis
442544003,Deformity of spine due to injury
44324008,Hemodynamic measurements
443245006,Estimated weight using Broselow Luten pediatric weight estimation
443272003,Puncture of peripheral vein using ultrasound guidance
443325000,Automatic implantable cardiac defibrillator in situ
443390004,Declined
443448006,Application of intermittent pneumatic compression device
443533003,Irrigation and suction of endotracheal tube
443693006,Assessment of self medication
443848000,Apgar score at 15 minutes
443849008,Apgar score at 20 minutes
444063009,Broselow Luten color coding system for pediatric weight estimation
444637000,Removal of pressure bandage
444679006,Positioning subject in recovery position
444713005,Assessment of catheter entry site
444714004,Assessment of consciousness level
444821009,Assessment of chest pain
445034001,Provision of emesis basin
44508008,Hydromorphone
445099008,Assessment of wound drain device
445127001,Application of elastic adhesive bandage
445141005,Administration of medication using nebulizer mask
445191009,Care of suprapubic urinary catheter
445314006,Assessment of skin color
445392009,Obtaining airway by head extension
445450000,Encounter by short message service text messaging
445536008,Assessment using assessment scale
445611009,Assessment of peripheral intravenous catheter site
445666005,Faxed report
445668006,Telephoned report
445674006,Verbal report
445719003,Assessment using visual analog pain scale
445818000,Assessment using childhood health assessment questionnaire
445828009,Assessment using functional capacity evaluation
445970000,Moving subject from bed to chair
44613004,"Ground transport ambulance, device"
446131002,Blood specimen obtained for blood culture
446476009,Umbilical catheter
446573003,Continuous positive airway pressure titration
446583004,Insertion of indwelling catheter into urinary bladder
446661000124101,Death pronouncement
44668000,"Pump, device"
446760004,Assessment using Westmead home safety assessment
446847002,Drainage of pleural cavity via chest tube
447033006,Vagal nerve stimulator
447056002,Occlusive dressing technique
447113005,12 lead electrocardiogram at rest
447114004,12 lead electrocardiogram during exercise
447214008,Ligation of umbilical cord of fetus
447243000,Bilevel positive airway pressure titration
44738004,"Laryngoscope, device"
447686008,Application of pressure to wound
447755005,Finding of oxygen saturation
447837008,Non-invasive positive pressure ventilation
447963004,Intravenous push technique
447973002,Measurement of temperature using forehead thermometer
447996002,Intubation of respiratory tract
44806002,"Esophageal bougie, device"
448093005,Measurement of temperature using tympanic thermometer
448094004,Venous access patent
448235007,Modified rapid sequence induction
448334008,Carotid sinus massage test
448337001,Telemedicine consultation with patient
448348008,Airway exchange catheter
448442005,Transtracheal jet ventilation
448464001,Assessment of airway device cuff pressure
448590001,Maintenance of intravenous cardiac pacemaker system
448678005,Application of ambulatory blood pressure monitor
448681000124107,Involuntary patient transfer to psychiatric hospital
448703006,Pulse oximeter
448713003,Intravenous catheter in situ
448720005,Peripherally inserted central venous access patent
448826009,Brief operative note
448907002,Videolaryngoscope
448916003,Skin strip thermometer
448970001,Application of pressure trouser
449071006,Mechanical ventilator
449107008,Care of central venous catheter
449137004,Intravenous piggyback technique
449199004,Manual inline stabilization of cervical spine
449229004,Therapeutic suctioning of trachea via tracheostomy
449231008,Ensuring use of infusion pump within safe parameters
449237007,Measurement of temperature using skin strip thermometer
449239005,Central venous catheter in situ
449286009,Gum elastic bougie
449301000,Endotracheal ventilation catheter
449399005,Application of personal protective equipment
449641000124107,Primary care physician notified of procedure
449842009,Nasogastric tube in situ
449859004,Nontunneled central venous catheter
450475007,For cardiopulmonary resuscitation
450571000124105,Single lumen supraglottic airway device
450581000124108,Short spinal immobilization device
450591000124106,Immobilization using long board
450601000124103,Orotracheal intubation using bougie device
450611000124100,Insertion of single lumen supraglottic airway device
450651000124104,Automatic external cardiac defibrillator
450661000124102,Defibrillation using automated external cardiac defibrillator
450673008,Application of gauze support bandage
450741005,National Institutes of Health stroke scale
450742003,Assessment using National Institutes of Health stroke scale
450866001,Hemodialysis catheter
450871008,Attention to colostomy
451031000124108,Immobilization using short extrication splint
451741000124100,Development of medication care plan with patient
45211000,Catheterization
45236006,Emergency administration of medication
453611000124108,Referral for high risk medication monitoring
453661000124106,Referral to care coordinator
45444009,"Ventilation, function"
45555007,Norepinephrine
457441000124102,Richmond Agitation-Sedation Scale
457971000124101,Assessment using American Spinal Injury Association impairment scale
461851000124103,Poison control center report
46223001,"Application of finger splint, static"
462292009,Infrared-light vein locator
462451003,"Patient transfer system, manual"
4625008,Apical pulse taking
462506001,Patient positioning vacuum mattress
462514007,Arterial blood pressure catheter
462554009,Ankle restraint
462585000,Hot therapy pack heating unit
462722003,Patient lifting system stretcher
462739001,Pulse Co-oximeter
462863001,"Hospital stretcher, manual"
463006002,"Hospital stretcher, powered"
463073009,"Patient monitoring system module, electrocardiographic"
463194009,"Non-rechargeable public semi-automated external defibrillator electrode, adult"
463235004,"Pressure infusor, manual"
463587004,Rebreathing oxygen face mask
463629006,Physiologic-monitoring defibrillation system
46364009,"Clamp, device"
463688000,Orthopedic stretcher
463975000,Portable stretcher
464002006,"Portable ventilator, electric"
464038004,Pneumatic tourniquet system
464051009,Esophageal temperature monitor probe
464213004,Oxygen administration enhancement device
464240004,Nasal suction system
464244008,Assistive passenger lift
464428002,Moisture chamber face mask
464446008,Oxygen administration tubing
464578003,Oxygen administration face tent
464582001,Moist-heat pack
464658002,Vacuum mouldable splint
464916003,Assistive automobile child safety seat
464922007,Assistive automobile seatbelt/harness
465060008,Stair chair
465414001,Scultetus bandage
465477004,Ventilator application software
465652008,Rechargeable professional automated external defibrillator
465717007,Transport infant incubator
465839001,"Tracheostomy mask, oxygen"
465849003,Rechargeable public semi-automated external defibrillator
465913003,Skin staple
466274003,"Woven gauze pad, non-sterile"
46634008,Repositioning of cardioverter/defibrillator leads
46641002,Application of eye pad
466677003,Blood/fluid warmer air/foam detector
466713001,Basic nasal oxygen cannula
466725003,Blanket/pad infant phototherapy unit
466870003,Wrist restraint
466875008,"Woven gauze pad, sterile"
467031000,"Blanket warming cabinet, dry-heat"
467221000,Cervical spine immobilization frame
467227001,"Convection blood/fluid warmer, high-flow"
467260003,Cardiotocography telemetric monitoring system transmitter
467328009,Cotton burn sheet
467394004,Active-support bandage
467609009,Cardiopulmonary resuscitator
467635005,Cold therapy pack chilling unit
467645007,Continuous positive airway pressure nasal oxygen cannula
467764008,Catheter introducer
467843003,Conduction blood/fluid warmer
467878003,Chair lift/transporter
46797008,Bathing patient in isolette
467995005,Carbon dioxide monitor
468016007,Convection blood/fluid warmer
468049003,Carbon-dioxide-sampling nasal oxygen cannula
468132007,Carbon monoxide compressed air/gas monitor
468247007,Electrocardiography telemetric monitoring system transmitter
46825001,Electrocardiographic monitoring
468315000,Adult limb restraint
468350008,"Airway pressure monitor, powered"
468369003,External defibrillator electrode pad
468414000,"Aerosol face mask, non-rebreathing"
468601005,Endotracheal tube holder
468971006,Demand valve
469039009,Adult whole-body immobilizer
469055002,Emesis bag
469103001,Electrocardiography telemetric monitoring system
469122005,Airway obstruction forceps
469366000,Manual emergency suction system
469412009,Manual cardiac resuscitator
469413004,Intravenous line clamp
469422003,First aid gauze/bandage
469467005,Low-pressure suction system
46973005,Blood pressure taking
469761007,Extracorporeal bubble oxygenator
469863002,Manual external defibrillator
469883001,Manual patient lifting belt/harness
469919007,Flexible video laryngoscope
470174002,Heat/moisture exchanger insertable filter
470187008,"Gauze roll, sterile"
470189006,Gauze packer
470320000,Anesthesia ventilator
470361000,"General-purpose suction system, vacuum"
470379001,"Gauze roll, non-sterile"
470406006,Infant bed restraint
470478008,"General-purpose implantable infusion pump, programmable"
470575008,General-purpose infusion pump
470635008,General-purpose patient lifting system sling/harness
473411007,External ventricular drain tip submitted as specimen
47451004,Administration of electrolytes
47545007,Continuous positive airway pressure ventilation treatment
48035000,Traction maintenance
49062001,Device
49077009,Flexible fiberoptic laryngoscopy
49288009,Irrigation of anterior chamber of eye
49634009,Miscellaneous
49689007,Application of cervical collar
49999004,Irrigation of eye proper
50015006,Closure by staple
50072001,Monitoring of pulse
50357006,Evaluation and management of patient at home
50373000,Body height measure
50629008,"Cervical dilatation, function"
50723001,Blood pressure taking education
50863008,Plasma
51241000,Control of hemorrhage
51308000,"Thrombolysis, function"
51353003,Application of pressure binder
51717002,Expired carbon dioxide concentration
51765001,Carbon monoxide
51883004,"Sling, device"
52037006,Application of sling
52124006,"Central venous catheter, device"
52260009,Nasogastric tube maintenance
52495005,"Blood drawing chair, device"
52653008,Respiratory sounds
52685006,Administration of analgesic
52765003,Intubation
53923005,Medical consultation on inpatient
53950000,Respiratory therapy
54395008,Patient referral for medical consultation
5447007,Transfusion
54550000,Electroencephalogram
54638004,"Towel, device"
54654001,Measurement of central venous pressure
54790000,Transfusion of blood component
5531000179105,Nursing report
5556001,Manually assisted spontaneous delivery
55628002,Maintenance of thoracic drain
56251003,Nebulizer therapy
56342008,Temperature taking
56469005,Moving a patient
56620000,Delivery of placenta following delivery of infant outside of hospital
56783008,Incision AND drainage
56961003,"Cardiac transvenous pacemaker, device"
57054005,Acute myocardial infarction
57188001,"Biological transport, function"
57395004,"Physical restraint equipment, device"
57485005,Oxygen therapy
58000006,Patient discharge
58091002,Independent of
58253008,"Suction catheter, device"
58715004,Moving a patient to a stretcher
5880005,Physical examination procedure
58825001,Closed reduction of dislocation
58828004,"Application of dressing, sterile"
58938008,Wheelchair device
5902003,"History and physical examination, complete"
59058001,General physician
59102007,"Ice bag, device"
59108006,Injection
59218006,Temporary transcutaneous pacing
5930003,Cardiac monitor removal
59427005,Synchronized intermittent mandatory ventilation
59573005,Potassium measurement
59900003,Manual and mechanical traction
59941008,Product containing diltiazem
60054005,"Seat belt, device"
60112009,Drug addiction counseling
60117003,Transmitted by
60151004,Neonatal screening
60170009,Analysis of arterial blood gases and pH
6041000124105,Medication regimen review
60815008,Grade not determined
61167004,Thyroid stimulating hormone measurement
6125005,Change of gastrostomy tube
61330002,Nasopharyngeal airway device
61746007,Taking patient vital signs
61928009,Platelet count
62972009,Extraction
63061008,Measuring intake and output
63267000,Alcohol measurement
63332003,History AND physical examination
63476009,Prostate specific antigen measurement
63562005,"Cervical collar, device"
63933000,Ventriculostomy
63994009,Infection prevention education
63995005,"Bandage, device"
64255007,"Esophageal balloon, device"
64373007,Placing bedrails
64461008,Seizure precautions
65011002,Blood and fluids precautions
65149000,Exhaled air
65653002,Pulse taking
65677008,Pulmonary catheterization with Swan-Ganz catheter
66190008,Victim of trauma with multiple injuries
66618001,Decreased general body function
66656000,Phytomenadione
66861000,Intubation of larynx
67079006,Glucose
670991000124102,Referral to community paramedicine program
673005,Indirect laryngoscopy
67405006,"Patient status determination, slightly improved"
6745008,Indirect laryngoscopy with removal of foreign body
67664000,Laboratory calculation
67780002,Has assessment
67879005,"History and physical examination, limited"
67889009,Irrigation
68187007,Tracheobronchial suctioning
68322007,Administration of antibiotic
6853008,Nasogastric tube aspiration
68664003,Glasgow coma testing and evaluation
68776005,Released
68894007,Placing restraint
68978004,Hyperventilation
68994006,Measurement of total hemoglobin concentration and hematocrit
69779005,Cardiac resuscitation
697953001,Maintenance of automatic cardiac defibrillator
697979005,Airway care management
698314001,Consultation for treatment
698472009,Blood glucose monitoring
698822002,Airway plateau pressure
699126008,Arterial catheter care assessment
700000006,Vaginal delivery of fetus
700151002,Temporary implantation of left cardiac ventricular assist device
70040003,"Glasgow coma scale, 15"
700416004,Pediatric care
700452000,Able to participate in telemedicine consultation
700558003,Exothermic heat therapy pack
700597006,"Ambulance stretcher, manual"
700630004,High-flow heated respiratory humidifier
700643004,"Infrared patient thermometer, ear"
700790005,Portable pneumatic ventilator
700792002,Assistive lifting/tilting positioning system
700804001,"Pressure bandage, non-sterile"
700886002,Transport electric ventilator
70106000,Lipid
701097007,Chitosan hemostatic agent
701380006,Spine self-molding splint system
701434005,Viral filter
701578004,Absorbent wound compression pad
701695003,Cardiopulmonary resuscitation inspiratory impedance valve
701708003,"Instrument management bag, non-sterile"
701755008,"Pressure bandage, sterile"
70177008,Escharotomy
