eInjury_01,DiagnosisCodeDescr
V03.12,"Pedestrian on skateboard injured in collision with car, pick-up truck or van in traffic accident"
V03.13,"Pedestrian on standing micro-mobility pedestrian conveyance injured in collision with car, pick-up or van in traffic accident"
V03.19,"Pedestrian with other conveyance injured in collision with car, pick-up truck or van in traffic accident"
V03.9,"Pedestrian injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident"
V03.90,"Pedestrian on foot injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident"
V03.92,"Pedestrian on skateboard injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident"
V03.99,"Pedestrian with other conveyance injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident"
V04,Pedestrian injured in collision with heavy transport vehicle or bus
V04.0,Pedestrian injured in collision with heavy transport vehicle or bus in nontraffic accident
V04.00,Pedestrian on foot injured in collision with heavy transport vehicle or bus in nontraffic accident
V04.09,Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus in nontraffic accident
V04.1,Pedestrian injured in collision with heavy transport vehicle or bus in traffic accident
V04.10,Pedestrian on foot injured in collision with heavy transport vehicle or bus in traffic accident
V04.19,Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus in traffic accident
V04.9,"Pedestrian injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident"
V04.90,"Pedestrian on foot injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident"
V04.99,"Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident"
V05,Pedestrian injured in collision with railway train or railway vehicle
V05.0,Pedestrian injured in collision with railway train or railway vehicle in nontraffic accident
V05.00,Pedestrian on foot injured in collision with railway train or railway vehicle in nontraffic accident
V05.00XA,"Pedestrian on foot injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter"
V05.09,Pedestrian with other conveyance injured in collision with railway train or railway vehicle in nontraffic accident
V05.1,Pedestrian injured in collision with railway train or railway vehicle in traffic accident
V05.9,"Pedestrian injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident"
V05.90,"Pedestrian on foot injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident"
V06,Pedestrian injured in collision with other nonmotor vehicle
V06.0,Pedestrian injured in collision with other nonmotor vehicle in nontraffic accident
V06.00,Pedestrian on foot injured in collision with other nonmotor vehicle in nontraffic accident
V06.09,Pedestrian with other conveyance injured in collision with other nonmotor vehicle in nontraffic accident
V06.1,Pedestrian injured in collision with other nonmotor vehicle in traffic accident
V06.10,Pedestrian on foot injured in collision with other nonmotor vehicle in traffic accident
V06.12,Pedestrian on skateboard injured in collision with other nonmotor vehicle in traffic accident
V06.9,"Pedestrian injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident"
V06.90,"Pedestrian on foot injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident"
V06.99,"Pedestrian with other conveyance injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident"
V09,Pedestrian injured in other and unspecified transport accidents
V09.0,Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles
V09.00,Pedestrian injured in nontraffic accident involving unspecified motor vehicles
V09.01,Pedestrian injured in nontraffic accident involving military vehicle
V09.09,Pedestrian injured in nontraffic accident involving other motor vehicles
V09.1,Pedestrian injured in unspecified nontraffic accident
V09.1XXA,"Pedestrian injured in unspecified nontraffic accident, initial encounter"
V09.2,Pedestrian injured in traffic accident involving other and unspecified motor vehicles
V09.20,Pedestrian injured in traffic accident involving unspecified motor vehicles
V09.20XA,"Pedestrian injured in traffic accident involving unspecified motor vehicles, initial encounter"
V09.21,Pedestrian injured in traffic accident involving military vehicle
V09.29,Pedestrian injured in traffic accident involving other motor vehicles
V09.29XA,"Pedestrian injured in traffic accident involving other motor vehicles, initial encounter"
V09.3,Pedestrian injured in unspecified traffic accident
V09.9,Pedestrian injured in unspecified transport accident
V09.9XXA,"Pedestrian injured in unspecified transport accident, initial encounter"
V10,Pedal cycle rider injured in collision with pedestrian or animal
V10.0,Pedal cycle driver injured in collision with pedestrian or animal in nontraffic accident
V10.0XXA,"Pedal cycle driver injured in collision with pedestrian or animal in nontraffic accident, initial encounter"
V10.1,Pedal cycle passenger injured in collision with pedestrian or animal in nontraffic accident
V10.4,Pedal cycle driver injured in collision with pedestrian or animal in traffic accident
V10.5,Pedal cycle passenger injured in collision with pedestrian or animal in traffic accident
V10.9,Unspecified pedal cyclist injured in collision with pedestrian or animal in traffic accident
V11,Pedal cycle rider injured in collision with other pedal cycle
V11.0,Pedal cycle driver injured in collision with other pedal cycle in nontraffic accident
V11.1,Pedal cycle passenger injured in collision with other pedal cycle in nontraffic accident
V11.2,Unspecified pedal cyclist injured in collision with other pedal cycle in nontraffic accident
V11.3,Person boarding or alighting a pedal cycle injured in collision with other pedal cycle
V11.4,Pedal cycle driver injured in collision with other pedal cycle in traffic accident
V11.5,Pedal cycle passenger injured in collision with other pedal cycle in traffic accident
V11.9,Unspecified pedal cyclist injured in collision with other pedal cycle in traffic accident
V12.0,Pedal cycle driver injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V12.1,Pedal cycle passenger injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V12.4,Pedal cycle driver injured in collision with two- or three-wheeled motor vehicle in traffic accident
V12.5,Pedal cycle passenger injured in collision with two- or three-wheeled motor vehicle in traffic accident
V12.9,Unspecified pedal cyclist injured in collision with two- or three-wheeled motor vehicle in traffic accident
V13,"Pedal cycle rider injured in collision with car, pick-up truck or van"
V13.0,"Pedal cycle driver injured in collision with car, pick-up truck or van in nontraffic accident"
V13.1,"Pedal cycle passenger injured in collision with car, pick-up truck or van in nontraffic accident"
V13.2,"Unspecified pedal cyclist injured in collision with car, pick-up truck or van in nontraffic accident"
V13.3,"Person boarding or alighting a pedal cycle injured in collision with car, pick-up truck or van"
V13.4,"Pedal cycle driver injured in collision with car, pick-up truck or van in traffic accident"
V13.5,"Pedal cycle passenger injured in collision with car, pick-up truck or van in traffic accident"
V13.9,"Unspecified pedal cyclist injured in collision with car, pick-up truck or van in traffic accident"
V14.0,Pedal cycle driver injured in collision with heavy transport vehicle or bus in nontraffic accident
V14.1,Pedal cycle passenger injured in collision with heavy transport vehicle or bus in nontraffic accident
V14.2,Unspecified pedal cyclist injured in collision with heavy transport vehicle or bus in nontraffic accident
V14.4,Pedal cycle driver injured in collision with heavy transport vehicle or bus in traffic accident
V14.5,Pedal cycle passenger injured in collision with heavy transport vehicle or bus in traffic accident
V16.0,Pedal cycle driver injured in collision with other nonmotor vehicle in nontraffic accident
V16.2,Unspecified pedal cyclist injured in collision with other nonmotor vehicle in nontraffic accident
V16.4,Pedal cycle driver injured in collision with other nonmotor vehicle in traffic accident
V16.9,Unspecified pedal cyclist injured in collision with other nonmotor vehicle in traffic accident
V17,Pedal cycle rider injured in collision with fixed or stationary object
V17.0,Pedal cycle driver injured in collision with fixed or stationary object in nontraffic accident
V17.1,Pedal cycle passenger injured in collision with fixed or stationary object in nontraffic accident
V17.2,Unspecified pedal cyclist injured in collision with fixed or stationary object in nontraffic accident
V17.3,Person boarding or alighting a pedal cycle injured in collision with fixed or stationary object
V17.4,Pedal cycle driver injured in collision with fixed or stationary object in traffic accident
V17.5,Pedal cycle passenger injured in collision with fixed or stationary object in traffic accident
V17.9,Unspecified pedal cyclist injured in collision with fixed or stationary object in traffic accident
V18,Pedal cycle rider injured in noncollision transport accident
V18.0,Pedal cycle driver injured in noncollision transport accident in nontraffic accident
V18.0XXA,"Pedal cycle driver injured in noncollision transport accident in nontraffic accident, initial encounter"
V18.1,Pedal cycle passenger injured in noncollision transport accident in nontraffic accident
V18.2,Unspecified pedal cyclist injured in noncollision transport accident in nontraffic accident
V18.3,Person boarding or alighting a pedal cycle injured in noncollision transport accident
V18.4,Pedal cycle driver injured in noncollision transport accident in traffic accident
V18.5,Pedal cycle passenger injured in noncollision transport accident in traffic accident
V18.9,Unspecified pedal cyclist injured in noncollision transport accident in traffic accident
V19,Pedal cycle rider injured in other and unspecified transport accidents
V19.0,Pedal cycle driver injured in collision with other and unspecified motor vehicles in nontraffic accident
V19.00,Pedal cycle driver injured in collision with unspecified motor vehicles in nontraffic accident
V19.09,Pedal cycle driver injured in collision with other motor vehicles in nontraffic accident
V19.10,Pedal cycle passenger injured in collision with unspecified motor vehicles in nontraffic accident
V19.19,Pedal cycle passenger injured in collision with other motor vehicles in nontraffic accident
V19.2,Unspecified pedal cyclist injured in collision with other and unspecified motor vehicles in nontraffic accident
V19.20,Unspecified pedal cyclist injured in collision with unspecified motor vehicles in nontraffic accident
V19.29,Unspecified pedal cyclist injured in collision with other motor vehicles in nontraffic accident
V19.3,Pedal cyclist (driver) (passenger) injured in unspecified nontraffic accident
V19.3XXA,"Pedal cyclist (driver) (passenger) injured in unspecified nontraffic accident, initial encounter"
V19.3XXS,"Pedal cyclist (driver) (passenger) injured in unspecified nontraffic accident, sequela"
V19.4,Pedal cycle driver injured in collision with other and unspecified motor vehicles in traffic accident
V19.40,Pedal cycle driver injured in collision with unspecified motor vehicles in traffic accident
V19.49,Pedal cycle driver injured in collision with other motor vehicles in traffic accident
V19.5,Pedal cycle passenger injured in collision with other and unspecified motor vehicles in traffic accident
V19.50,Pedal cycle passenger injured in collision with unspecified motor vehicles in traffic accident
V19.59,Pedal cycle passenger injured in collision with other motor vehicles in traffic accident
V19.6,Unspecified pedal cyclist injured in collision with other and unspecified motor vehicles in traffic accident
V19.60,Unspecified pedal cyclist injured in collision with unspecified motor vehicles in traffic accident
V19.60XA,"Unspecified pedal cyclist injured in collision with unspecified motor vehicles in traffic accident, initial encounter"
V19.69,Unspecified pedal cyclist injured in collision with other motor vehicles in traffic accident
V19.69XA,"Unspecified pedal cyclist injured in collision with other motor vehicles in traffic accident, initial encounter"
V19.8,Pedal cyclist (driver) (passenger) injured in other specified transport accidents
V19.81,Pedal cyclist (driver) (passenger) injured in transport accident with military vehicle
V19.88,Pedal cyclist (driver) (passenger) injured in other specified transport accidents
V19.9,Pedal cyclist (driver) (passenger) injured in unspecified traffic accident
V19.9XXA,"Pedal cyclist (driver) (passenger) injured in unspecified traffic accident, initial encounter"
V20,Motorcycle rider injured in collision with pedestrian or animal
V20.0,Motorcycle driver injured in collision with pedestrian or animal in nontraffic accident
V20.1,Motorcycle passenger injured in collision with pedestrian or animal in nontraffic accident
V20.2,Unspecified motorcycle rider injured in collision with pedestrian or animal in nontraffic accident
V20.4,Motorcycle driver injured in collision with pedestrian or animal in traffic accident
V20.49XA,"Other motorcycle driver injured in collision with pedestrian or animal in traffic accident, initial encounter"
V20.5,Motorcycle passenger injured in collision with pedestrian or animal in traffic accident
V20.9,Unspecified motorcycle rider injured in collision with pedestrian or animal in traffic accident
V21.0,Motorcycle driver injured in collision with pedal cycle in nontraffic accident
V21.4,Motorcycle driver injured in collision with pedal cycle in traffic accident
V21.5,Motorcycle passenger injured in collision with pedal cycle in traffic accident
V22.0,Motorcycle driver injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V22.4,Motorcycle driver injured in collision with two- or three-wheeled motor vehicle in traffic accident
V22.5,Motorcycle passenger injured in collision with two- or three-wheeled motor vehicle in traffic accident
V23,"Motorcycle rider injured in collision with car, pick-up truck or van"
V23.0,"Motorcycle driver injured in collision with car, pick-up truck or van in nontraffic accident"
V23.01XA,"Electric (assisted) bicycle driver injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter"
V23.1,"Motorcycle passenger injured in collision with car, pick-up truck or van in nontraffic accident"
V23.2,"Unspecified motorcycle rider injured in collision with car, pick-up truck or van in nontraffic accident"
V23.3,"Person boarding or alighting a motorcycle injured in collision with car, pick-up truck or van"
V23.4,"Motorcycle driver injured in collision with car, pick-up truck or van in traffic accident"
V23.41XA,"Electric (assisted) bicycle driver injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
V23.49XA,"Other motorcycle driver injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
V23.5,"Motorcycle passenger injured in collision with car, pick-up truck or van in traffic accident"
V23.59XA,"Other motorcycle passenger injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
V23.9,"Unspecified motorcycle rider injured in collision with car, pick-up truck or van in traffic accident"
V24.0,Motorcycle driver injured in collision with heavy transport vehicle or bus in nontraffic accident
V24.4,Motorcycle driver injured in collision with heavy transport vehicle or bus in traffic accident
V24.5,Motorcycle passenger injured in collision with heavy transport vehicle or bus in traffic accident
V24.9,Unspecified motorcycle rider injured in collision with heavy transport vehicle or bus in traffic accident
V25.0,Motorcycle driver injured in collision with railway train or railway vehicle in nontraffic accident
V25.1,Motorcycle passenger injured in collision with railway train or railway vehicle in nontraffic accident
V25.4,Motorcycle driver injured in collision with railway train or railway vehicle in traffic accident
V25.99XA,"Unspecified rider of other motorcycle injured in collision with railway train or railway vehicle in traffic accident, initial encounter"
V26,Motorcycle rider injured in collision with other nonmotor vehicle
V26.0,Motorcycle driver injured in collision with other nonmotor vehicle in nontraffic accident
V26.1,Motorcycle passenger injured in collision with other nonmotor vehicle in nontraffic accident
V26.4,Motorcycle driver injured in collision with other nonmotor vehicle in traffic accident
V26.5,Motorcycle passenger injured in collision with other nonmotor vehicle in traffic accident
V26.9,Unspecified motorcycle rider injured in collision with other nonmotor vehicle in traffic accident
V26.99XA,"Unspecified rider of other motorcycle injured in collision with other nonmotor vehicle in traffic accident, initial encounter"
V27,Motorcycle rider injured in collision with fixed or stationary object
V27.0,Motorcycle driver injured in collision with fixed or stationary object in nontraffic accident
V27.1,Motorcycle passenger injured in collision with fixed or stationary object in nontraffic accident
V27.2,Unspecified motorcycle rider injured in collision with fixed or stationary object in nontraffic accident
V27.3,Person boarding or alighting a motorcycle injured in collision with fixed or stationary object
V27.4,Motorcycle driver injured in collision with fixed or stationary object in traffic accident
V27.49XA,"Other motorcycle driver injured in collision with fixed or stationary object in traffic accident, initial encounter"
V27.5,Motorcycle passenger injured in collision with fixed or stationary object in traffic accident
V27.9,Unspecified motorcycle rider injured in collision with fixed or stationary object in traffic accident
V28,Motorcycle rider injured in noncollision transport accident
V28.0,Motorcycle driver injured in noncollision transport accident in nontraffic accident
V28.1,Motorcycle passenger injured in noncollision transport accident in nontraffic accident
V28.19XA,"Other motorcycle passenger injured in noncollision transport accident in nontraffic accident, initial encounter"
V28.2,Unspecified motorcycle rider injured in noncollision transport accident in nontraffic accident
V28.3,Person boarding or alighting a motorcycle injured in noncollision transport accident
V28.4,Motorcycle driver injured in noncollision transport accident in traffic accident
V28.49XA,"Other motorcycle driver injured in noncollision transport accident in traffic accident, initial encounter"
V28.49XD,"Other motorcycle driver injured in noncollision transport accident in traffic accident, subsequent encounter"
V28.5,Motorcycle passenger injured in noncollision transport accident in traffic accident
V28.59XA,"Other motorcycle passenger injured in noncollision transport accident in traffic accident, initial encounter"
V28.9,Unspecified motorcycle rider injured in noncollision transport accident in traffic accident
V29,Motorcycle rider injured in other and unspecified transport accidents
V29.0,Motorcycle driver injured in collision with other and unspecified motor vehicles in nontraffic accident
V29.00,Motorcycle driver injured in collision with unspecified motor vehicles in nontraffic accident
V29.09,Motorcycle driver injured in collision with other motor vehicles in nontraffic accident
V29.1,Motorcycle passenger injured in collision with other and unspecified motor vehicles in nontraffic accident
V29.10,Motorcycle passenger injured in collision with unspecified motor vehicles in nontraffic accident
V29.19,Motorcycle passenger injured in collision with other motor vehicles in nontraffic accident
V29.20,Unspecified motorcycle rider injured in collision with unspecified motor vehicles in nontraffic accident
V29.3,Motorcycle rider (driver) (passenger) injured in unspecified nontraffic accident
V29.31XA,"Electric (assisted) bicycle (driver) (passenger) injured in unspecified nontraffic accident, initial encounter"
V29.4,Motorcycle driver injured in collision with other and unspecified motor vehicles in traffic accident
V29.40,Motorcycle driver injured in collision with unspecified motor vehicles in traffic accident
V29.49,Motorcycle driver injured in collision with other motor vehicles in traffic accident
V29.498A,"Other motorcycle driver injured in collision with other motor vehicles in traffic accident, initial encounter"
V29.498D,"Other motorcycle driver injured in collision with other motor vehicles in traffic accident, subsequent encounter"
V29.5,Motorcycle passenger injured in collision with other and unspecified motor vehicles in traffic accident
V29.50,Motorcycle passenger injured in collision with unspecified motor vehicles in traffic accident
V29.59,Motorcycle passenger injured in collision with other motor vehicles in traffic accident
V29.6,Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident
V29.60,Unspecified motorcycle rider injured in collision with unspecified motor vehicles in traffic accident
V29.69,Unspecified motorcycle rider injured in collision with other motor vehicles in traffic accident
V29.8,Motorcycle rider (driver) (passenger) injured in other specified transport accidents
V29.81,Motorcycle rider (driver) (passenger) injured in transport accident with military vehicle
V29.88,Motorcycle rider (driver) (passenger) injured in other specified transport accidents
V29.9,Motorcycle rider (driver) (passenger) injured in unspecified traffic accident
V29.91,Electric (assisted) bicycle rider (driver) (passenger) injured in unspecified traffic accident
V29.91XA,"Electric (assisted) bicycle rider (driver) (passenger) injured in unspecified traffic accident, initial encounter"
V30.0,Driver of three-wheeled motor vehicle injured in collision with pedestrian or animal in nontraffic accident
V30.1,Passenger in three-wheeled motor vehicle injured in collision with pedestrian or animal in nontraffic accident
V30.9,Unspecified occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal in traffic accident
V31.3,Unspecified occupant of three-wheeled motor vehicle injured in collision with pedal cycle in nontraffic accident
V31.4,Person boarding or alighting a three-wheeled motor vehicle injured in collision with pedal cycle
V31.6,Passenger in three-wheeled motor vehicle injured in collision with pedal cycle in traffic accident
V32.1,Passenger in three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V32.5,Driver of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident
V32.6,Passenger in three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident
V33.0,"Driver of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in nontraffic accident"
V33.1,"Passenger in three-wheeled motor vehicle injured in collision with car, pick-up truck or van in nontraffic accident"
V33.5,"Driver of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in traffic accident"
V33.6,"Passenger in three-wheeled motor vehicle injured in collision with car, pick-up truck or van in traffic accident"
V34.5,Driver of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in traffic accident
V35.0,Driver of three-wheeled motor vehicle injured in collision with railway train or railway vehicle in nontraffic accident
V36.1,Passenger in three-wheeled motor vehicle injured in collision with other nonmotor vehicle in nontraffic accident
V36.2,Person on outside of three-wheeled motor vehicle injured in collision with other nonmotor vehicle in nontraffic accident
V36.5,Driver of three-wheeled motor vehicle injured in collision with other nonmotor vehicle in traffic accident
V37.0,Driver of three-wheeled motor vehicle injured in collision with fixed or stationary object in nontraffic accident
V37.1,Passenger in three-wheeled motor vehicle injured in collision with fixed or stationary object in nontraffic accident
V37.5,Driver of three-wheeled motor vehicle injured in collision with fixed or stationary object in traffic accident
V38.0,Driver of three-wheeled motor vehicle injured in noncollision transport accident in nontraffic accident
V38.1,Passenger in three-wheeled motor vehicle injured in noncollision transport accident in nontraffic accident
V38.4,Person boarding or alighting a three-wheeled motor vehicle injured in noncollision transport accident
V38.5,Driver of three-wheeled motor vehicle injured in noncollision transport accident in traffic accident
V38.6,Passenger in three-wheeled motor vehicle injured in noncollision transport accident in traffic accident
V39,Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents
V39.0,Driver of three-wheeled motor vehicle injured in collision with other and unspecified motor vehicles in nontraffic accident
V39.1,Passenger in three-wheeled motor vehicle injured in collision with other and unspecified motor vehicles in nontraffic accident
V39.19,Passenger in three-wheeled motor vehicle injured in collision with other motor vehicles in nontraffic accident
V39.3,Occupant (driver) (passenger) of three-wheeled motor vehicle injured in unspecified nontraffic accident
V39.4,Driver of three-wheeled motor vehicle injured in collision with other and unspecified motor vehicles in traffic accident
V39.40,Driver of three-wheeled motor vehicle injured in collision with unspecified motor vehicles in traffic accident
V39.49,Driver of three-wheeled motor vehicle injured in collision with other motor vehicles in traffic accident
V39.50,Passenger in three-wheeled motor vehicle injured in collision with unspecified motor vehicles in traffic accident
V39.8,Occupant (driver) (passenger) of three-wheeled motor vehicle injured in other specified transport accidents
V39.89,Occupant (driver) (passenger) of three-wheeled motor vehicle injured in other specified transport accidents
V39.9,Occupant (driver) (passenger) of three-wheeled motor vehicle injured in unspecified traffic accident
V40,Car occupant injured in collision with pedestrian or animal
V40.0,Car driver injured in collision with pedestrian or animal in nontraffic accident
V40.1,Car passenger injured in collision with pedestrian or animal in nontraffic accident
V40.2,Person on outside of car injured in collision with pedestrian or animal in nontraffic accident
V40.3,Unspecified car occupant injured in collision with pedestrian or animal in nontraffic accident
V40.5,Car driver injured in collision with pedestrian or animal in traffic accident
V40.6,Car passenger injured in collision with pedestrian or animal in traffic accident
V40.7,Person on outside of car injured in collision with pedestrian or animal in traffic accident
V40.9,Unspecified car occupant injured in collision with pedestrian or animal in traffic accident
V40.9XXA,"Unspecified car occupant injured in collision with pedestrian or animal in traffic accident, initial encounter"
V41.0,Car driver injured in collision with pedal cycle in nontraffic accident
V41.1,Car passenger injured in collision with pedal cycle in nontraffic accident
V41.2,Person on outside of car injured in collision with pedal cycle in nontraffic accident
V41.4,Person boarding or alighting a car injured in collision with pedal cycle
V41.5,Car driver injured in collision with pedal cycle in traffic accident
V41.6,Car passenger injured in collision with pedal cycle in traffic accident
V41.7,Person on outside of car injured in collision with pedal cycle in traffic accident
V41.9,Unspecified car occupant injured in collision with pedal cycle in traffic accident
V42,Car occupant injured in collision with two- or three-wheeled motor vehicle
V42.0,Car driver injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V42.1,Car passenger injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V42.2,Person on outside of car injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V42.3,Unspecified car occupant injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V42.5,Car driver injured in collision with two- or three-wheeled motor vehicle in traffic accident
V42.6,Car passenger injured in collision with two- or three-wheeled motor vehicle in traffic accident
V42.9,Unspecified car occupant injured in collision with two- or three-wheeled motor vehicle in traffic accident
V43,"Car occupant injured in collision with car, pick-up truck or van"
V43.0,"Car driver injured in collision with car, pick-up truck or van in nontraffic accident"
V43.01,Car driver injured in collision with sport utility vehicle in nontraffic accident
V43.02,Car driver injured in collision with other type car in nontraffic accident
V43.03,Car driver injured in collision with pick-up truck in nontraffic accident
V43.04,Car driver injured in collision with van in nontraffic accident
V43.1,"Car passenger injured in collision with car, pick-up truck or van in nontraffic accident"
V43.11,Car passenger injured in collision with sport utility vehicle in nontraffic accident
V43.12,Car passenger injured in collision with other type car in nontraffic accident
V43.13,Car passenger injured in collision with pick-up truck in nontraffic accident
V43.14,Car passenger injured in collision with van in nontraffic accident
V43.2,"Person on outside of car injured in collision with car, pick-up truck or van in nontraffic accident"
V43.22,Person on outside of car injured in collision with other type car in nontraffic accident
V43.23,Person on outside of car injured in collision with pick-up truck in nontraffic accident
V43.3,"Unspecified car occupant injured in collision with car, pick-up truck or van in nontraffic accident"
V43.31,Unspecified car occupant injured in collision with sport utility vehicle in nontraffic accident
V43.32,Unspecified car occupant injured in collision with other type car in nontraffic accident
V43.33,Unspecified car occupant injured in collision with pick-up truck in nontraffic accident
V43.34,Unspecified car occupant injured in collision with van in nontraffic accident
V43.4,"Person boarding or alighting a car injured in collision with car, pick-up truck or van"
V43.42,Person boarding or alighting a car injured in collision with other type car
V43.5,"Car driver injured in collision with car, pick-up truck or van in traffic accident"
V43.51,Car driver injured in collision with sport utility vehicle in traffic accident
V43.52,Car driver injured in collision with other type car in traffic accident
V43.53,Car driver injured in collision with pick-up truck in traffic accident
V43.54,Car driver injured in collision with van in traffic accident
V43.6,"Car passenger injured in collision with car, pick-up truck or van in traffic accident"
V43.61,Car passenger injured in collision with sport utility vehicle in traffic accident
V43.62,Car passenger injured in collision with other type car in traffic accident
V43.63,Car passenger injured in collision with pick-up truck in traffic accident
V43.64,Car passenger injured in collision with van in traffic accident
V43.7,"Person on outside of car injured in collision with car, pick-up truck or van in traffic accident"
V43.71,Person on outside of car injured in collision with sport utility vehicle in traffic accident
V43.72,Person on outside of car injured in collision with other type car in traffic accident
V43.74,Person on outside of car injured in collision with van in traffic accident
V43.9,"Unspecified car occupant injured in collision with car, pick-up truck or van in traffic accident"
V43.91,Unspecified car occupant injured in collision with sport utility vehicle in traffic accident
V43.92,Unspecified car occupant injured in collision with other type car in traffic accident
V43.93,Unspecified car occupant injured in collision with pick-up truck in traffic accident
V43.94,Unspecified car occupant injured in collision with van in traffic accident
V44,Car occupant injured in collision with heavy transport vehicle or bus
V44.0,Car driver injured in collision with heavy transport vehicle or bus in nontraffic accident
V44.1,Car passenger injured in collision with heavy transport vehicle or bus in nontraffic accident
V44.3,Unspecified car occupant injured in collision with heavy transport vehicle or bus in nontraffic accident
V44.5,Car driver injured in collision with heavy transport vehicle or bus in traffic accident
V44.6,Car passenger injured in collision with heavy transport vehicle or bus in traffic accident
V44.7,Person on outside of car injured in collision with heavy transport vehicle or bus in traffic accident
V44.9,Unspecified car occupant injured in collision with heavy transport vehicle or bus in traffic accident
V45,Car occupant injured in collision with railway train or railway vehicle
V45.0,Car driver injured in collision with railway train or railway vehicle in nontraffic accident
V45.1,Car passenger injured in collision with railway train or railway vehicle in nontraffic accident
V45.5,Car driver injured in collision with railway train or railway vehicle in traffic accident
V45.6,Car passenger injured in collision with railway train or railway vehicle in traffic accident
V45.9,Unspecified car occupant injured in collision with railway train or railway vehicle in traffic accident
V46,Car occupant injured in collision with other nonmotor vehicle
V46.0,Car driver injured in collision with other nonmotor vehicle in nontraffic accident
V46.1,Car passenger injured in collision with other nonmotor vehicle in nontraffic accident
V46.3,Unspecified car occupant injured in collision with other nonmotor vehicle in nontraffic accident
V46.5,Car driver injured in collision with other nonmotor vehicle in traffic accident
V46.6,Car passenger injured in collision with other nonmotor vehicle in traffic accident
V46.9,Unspecified car occupant injured in collision with other nonmotor vehicle in traffic accident
V47,Car occupant injured in collision with fixed or stationary object
V47.0,Car driver injured in collision with fixed or stationary object in nontraffic accident
V47.1,Car passenger injured in collision with fixed or stationary object in nontraffic accident
V47.2,Person on outside of car injured in collision with fixed or stationary object in nontraffic accident
V47.3,Unspecified car occupant injured in collision with fixed or stationary object in nontraffic accident
V47.3XXA,"Unspecified car occupant injured in collision with fixed or stationary object in nontraffic accident, initial encounter"
V47.4,Person boarding or alighting a car injured in collision with fixed or stationary object
V47.5,Car driver injured in collision with fixed or stationary object in traffic accident
V47.5XXA,"Car driver injured in collision with fixed or stationary object in traffic accident, initial encounter"
V47.6,Car passenger injured in collision with fixed or stationary object in traffic accident
V47.7,Person on outside of car injured in collision with fixed or stationary object in traffic accident
V47.9,Unspecified car occupant injured in collision with fixed or stationary object in traffic accident
V48,Car occupant injured in noncollision transport accident
V48.0,Car driver injured in noncollision transport accident in nontraffic accident
V48.1,Car passenger injured in noncollision transport accident in nontraffic accident
V48.2,Person on outside of car injured in noncollision transport accident in nontraffic accident
V48.3,Unspecified car occupant injured in noncollision transport accident in nontraffic accident
V48.5,Car driver injured in noncollision transport accident in traffic accident
V48.6,Car passenger injured in noncollision transport accident in traffic accident
V48.7,Person on outside of car injured in noncollision transport accident in traffic accident
V48.9,Unspecified car occupant injured in noncollision transport accident in traffic accident
V49,Car occupant injured in other and unspecified transport accidents
V49.0,Driver injured in collision with other and unspecified motor vehicles in nontraffic accident
V49.00,Driver injured in collision with unspecified motor vehicles in nontraffic accident
V49.09,Driver injured in collision with other motor vehicles in nontraffic accident
V49.1,Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident
V49.10,Passenger injured in collision with unspecified motor vehicles in nontraffic accident
