eSituation_12,DiagnosisCodeDescr
J96.2,Acute and chronic respiratory failure
J96.20,"Acute and chronic respiratory failure, unspecified whether with hypoxia or hypercapnia"
J96.21,Acute and chronic respiratory failure with hypoxia
J96.22,Acute and chronic respiratory failure with hypercapnia
J96.9,"Respiratory failure, unspecified"
J96.90,"Respiratory failure, unspecified, unspecified whether with hypoxia or hypercapnia"
J96.91,"Respiratory failure, unspecified with hypoxia"
J96.92,"Respiratory failure, unspecified with hypercapnia"
J98,Other respiratory disorders
J98.0,"Diseases of bronchus, not elsewhere classified"
J98.01,Acute bronchospasm
J98.09,"Other diseases of bronchus, not elsewhere classified"
J98.11,Atelectasis
J98.19,Other pulmonary collapse
J98.2,Interstitial emphysema
J98.4,Other disorders of lung
J98.5,"Diseases of mediastinum, not elsewhere classified"
J98.8,Other specified respiratory disorders
J98.9,"Respiratory disorder, unspecified"
J99,Respiratory disorders in diseases classified elsewhere
K00.8,Other disorders of tooth development
K00.9,"Disorder of tooth development, unspecified"
K02.7,Dental root caries
K02.9,"Dental caries, unspecified"
K03.2,Erosion of teeth
K03.81,Cracked tooth
K04.0,Pulpitis
K04.4,Acute apical periodontitis of pulpal origin
K04.6,Periapical abscess with sinus
K04.7,Periapical abscess without sinus
K05.5,Other periodontal diseases
K06.8,Other specified disorders of gingiva and edentulous alveolar ridge
K08,Other disorders of teeth and supporting structures
K08.11,Complete loss of teeth due to trauma
K08.111,"Complete loss of teeth due to trauma, class I"
K08.4,Partial loss of teeth
K08.41,Partial loss of teeth due to trauma
K08.411,"Partial loss of teeth due to trauma, class I"
K08.419,"Partial loss of teeth due to trauma, unspecified class"
K08.8,Other specified disorders of teeth and supporting structures
K08.81,Primary occlusal trauma
K08.89,Other specified disorders of teeth and supporting structures
K08.9,"Disorder of teeth and supporting structures, unspecified"
K11.3,Abscess of salivary gland
K11.7,Disturbances of salivary secretion
K11.8,Other diseases of salivary glands
K12.0,Recurrent oral aphthae
K12.2,Cellulitis and abscess of mouth
K13.1,Cheek and lip biting
K13.29,"Other disturbances of oral epithelium, including tongue"
K13.70,Unspecified lesions of oral mucosa
K13.79,Other lesions of oral mucosa
K14.3,Hypertrophy of tongue papillae
K14.6,Glossodynia
K20.9,"Esophagitis, unspecified"
K20.90,"Esophagitis, unspecified without bleeding"
K20.91,"Esophagitis, unspecified with bleeding"
K21,Gastro-esophageal reflux disease
K21.0,Gastro-esophageal reflux disease with esophagitis
K21.00,"Gastro-esophageal reflux disease with esophagitis, without bleeding"
K21.01,"Gastro-esophageal reflux disease with esophagitis, with bleeding"
K21.9,Gastro-esophageal reflux disease without esophagitis
K22,Other diseases of esophagus
K22.0,Achalasia of cardia
K22.10,Ulcer of esophagus without bleeding
K22.11,Ulcer of esophagus with bleeding
K22.2,Esophageal obstruction
K22.3,Perforation of esophagus
K22.4,Dyskinesia of esophagus
K22.6,Gastro-esophageal laceration-hemorrhage syndrome
K22.7,Barrett's esophagus
K22.8,Other specified diseases of esophagus
K22.9,"Disease of esophagus, unspecified"
K25,Gastric ulcer
K25.0,Acute gastric ulcer with hemorrhage
K25.3,Acute gastric ulcer without hemorrhage or perforation
K25.4,Chronic or unspecified gastric ulcer with hemorrhage
K25.5,Chronic or unspecified gastric ulcer with perforation
K25.9,"Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation"
K26,Duodenal ulcer
K26.2,Acute duodenal ulcer with both hemorrhage and perforation
K26.4,Chronic or unspecified duodenal ulcer with hemorrhage
K26.5,Chronic or unspecified duodenal ulcer with perforation
K26.9,"Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation"
K27,"Peptic ulcer, site unspecified"
K27.0,"Acute peptic ulcer, site unspecified, with hemorrhage"
K27.1,"Acute peptic ulcer, site unspecified, with perforation"
K27.3,"Acute peptic ulcer, site unspecified, without hemorrhage or perforation"
K27.5,"Chronic or unspecified peptic ulcer, site unspecified, with perforation"
K27.9,"Peptic ulcer, site unspecified, unspecified as acute or chronic, without hemorrhage or perforation"
K28.0,Acute gastrojejunal ulcer with hemorrhage
K28.2,Acute gastrojejunal ulcer with both hemorrhage and perforation
K29.0,Acute gastritis
K29.00,Acute gastritis without bleeding
K29.01,Acute gastritis with bleeding
K29.2,Alcoholic gastritis
K29.21,Alcoholic gastritis with bleeding
K29.5,Unspecified chronic gastritis
K29.50,Unspecified chronic gastritis without bleeding
K29.51,Unspecified chronic gastritis with bleeding
K29.6,Other gastritis
K29.60,Other gastritis without bleeding
K29.61,Other gastritis with bleeding
K29.7,"Gastritis, unspecified"
K29.70,"Gastritis, unspecified, without bleeding"
K29.71,"Gastritis, unspecified, with bleeding"
K29.90,"Gastroduodenitis, unspecified, without bleeding"
K29.91,"Gastroduodenitis, unspecified, with bleeding"
K30,Functional dyspepsia
K31.0,Acute dilatation of stomach
K31.1,Adult hypertrophic pyloric stenosis
K31.5,Obstruction of duodenum
K31.84,Gastroparesis
K31.89,Other diseases of stomach and duodenum
K31.9,"Disease of stomach and duodenum, unspecified"
K35,Acute appendicitis
K35.2,Acute appendicitis with generalized peritonitis
K35.3,Acute appendicitis with localized peritonitis
K35.33,"Acute appendicitis with perforation, localized peritonitis, and gangrene, with abscess"
K35.8,Other and unspecified acute appendicitis
K35.80,Unspecified acute appendicitis
K35.89,Other acute appendicitis
K35.890,Other acute appendicitis without perforation or gangrene
K37,Unspecified appendicitis
K40,Inguinal hernia
K40.01,"Bilateral inguinal hernia, with obstruction, without gangrene, recurrent"
K40.10,"Bilateral inguinal hernia, with gangrene, not specified as recurrent"
K40.20,"Bilateral inguinal hernia, without obstruction or gangrene, not specified as recurrent"
K40.31,"Unilateral inguinal hernia, with obstruction, without gangrene, recurrent"
K40.90,"Unilateral inguinal hernia, without obstruction or gangrene, not specified as recurrent"
K41,Femoral hernia
K41.90,"Unilateral femoral hernia, without obstruction or gangrene, not specified as recurrent"
K42,Umbilical hernia
K42.0,"Umbilical hernia with obstruction, without gangrene"
K42.9,Umbilical hernia without obstruction or gangrene
K43.0,"Incisional hernia with obstruction, without gangrene"
K43.2,Incisional hernia without obstruction or gangrene
K43.5,Parastomal hernia without obstruction or gangrene
K43.9,Ventral hernia without obstruction or gangrene
K44,Diaphragmatic hernia
K44.9,Diaphragmatic hernia without obstruction or gangrene
K45,Other abdominal hernia
K45.0,"Other specified abdominal hernia with obstruction, without gangrene"
K45.8,Other specified abdominal hernia without obstruction or gangrene
K46,Unspecified abdominal hernia
K46.0,"Unspecified abdominal hernia with obstruction, without gangrene"
K46.9,Unspecified abdominal hernia without obstruction or gangrene
K50,Crohn's disease [regional enteritis]
K50.018,Crohn's disease of small intestine with other complication
K50.10,Crohn's disease of large intestine without complications
K50.8,Crohn's disease of both small and large intestine
K50.811,Crohn's disease of both small and large intestine with rectal bleeding
K50.9,"Crohn's disease, unspecified"
K50.90,"Crohn's disease, unspecified, without complications"
K50.911,"Crohn's disease, unspecified, with rectal bleeding"
K50.918,"Crohn's disease, unspecified, with other complication"
K50.919,"Crohn's disease, unspecified, with unspecified complications"
K51,Ulcerative colitis
K51.018,Ulcerative (chronic) pancolitis with other complication
K51.211,Ulcerative (chronic) proctitis with rectal bleeding
K51.4,Inflammatory polyps of colon
K51.40,Inflammatory polyps of colon without complications
K51.411,Inflammatory polyps of colon with rectal bleeding
K51.511,Left sided colitis with rectal bleeding
K51.811,Other ulcerative colitis with rectal bleeding
K51.818,Other ulcerative colitis with other complication
K51.90,"Ulcerative colitis, unspecified, without complications"
K51.911,"Ulcerative colitis, unspecified with rectal bleeding"
K51.919,"Ulcerative colitis, unspecified with unspecified complications"
K52,Other and unspecified noninfective gastroenteritis and colitis
K52.0,Gastroenteritis and colitis due to radiation
K52.2,Allergic and dietetic gastroenteritis and colitis
K52.8,Other specified noninfective gastroenteritis and colitis
K52.89,Other specified noninfective gastroenteritis and colitis
K52.9,"Noninfective gastroenteritis and colitis, unspecified"
K55.021,Focal (segmental) acute infarction of small intestine
K55.039,"Acute (reversible) ischemia of large intestine, extent unspecified"
K55.3,Necrotizing enterocolitis
K55.8,Other vascular disorders of intestine
K55.9,"Vascular disorder of intestine, unspecified"
K56.0,Paralytic ileus
K56.1,Intussusception
K56.2,Volvulus
K56.3,Gallstone ileus
K56.41,Fecal impaction
K56.49,Other impaction of intestine
K56.5,Intestinal adhesions [bands] with obstruction (postinfection)
K56.6,Other and unspecified intestinal obstruction
K56.60,Unspecified intestinal obstruction
K56.600,"Partial intestinal obstruction, unspecified as to cause"
K56.601,"Complete intestinal obstruction, unspecified as to cause"
K56.609,"Unspecified intestinal obstruction, unspecified as to partial versus complete obstruction"
K56.69,Other intestinal obstruction
K56.690,Other partial intestinal obstruction
K56.691,Other complete intestinal obstruction
K56.699,Other intestinal obstruction unspecified as to partial versus complete obstruction
K56.7,"Ileus, unspecified"
K57,Diverticular disease of intestine
K57.01,Diverticulitis of small intestine with perforation and abscess with bleeding
K57.10,Diverticulosis of small intestine without perforation or abscess without bleeding
K57.12,Diverticulitis of small intestine without perforation or abscess without bleeding
K57.21,Diverticulitis of large intestine with perforation and abscess with bleeding
K57.3,Diverticular disease of large intestine without perforation or abscess
K57.30,Diverticulosis of large intestine without perforation or abscess without bleeding
K57.32,Diverticulitis of large intestine without perforation or abscess without bleeding
K57.33,Diverticulitis of large intestine without perforation or abscess with bleeding
K57.8,"Diverticulitis of intestine, part unspecified, with perforation and abscess"
K57.80,"Diverticulitis of intestine, part unspecified, with perforation and abscess without bleeding"
K57.81,"Diverticulitis of intestine, part unspecified, with perforation and abscess with bleeding"
K57.9,"Diverticular disease of intestine, part unspecified, without perforation or abscess"
K57.90,"Diverticulosis of intestine, part unspecified, without perforation or abscess without bleeding"
K57.92,"Diverticulitis of intestine, part unspecified, without perforation or abscess without bleeding"
K57.93,"Diverticulitis of intestine, part unspecified, without perforation or abscess with bleeding"
K58,Irritable bowel syndrome
K58.0,Irritable bowel syndrome with diarrhea
K58.1,Irritable bowel syndrome with constipation
K58.9,Irritable bowel syndrome without diarrhea
K59,Other functional intestinal disorders
K59.0,Constipation
K59.00,"Constipation, unspecified"
K59.01,Slow transit constipation
K59.03,Drug induced constipation
K59.09,Other constipation
K59.1,Functional diarrhea
K59.4,Anal spasm
K59.9,"Functional intestinal disorder, unspecified"
K60.1,Chronic anal fissure
K60.4,Rectal fistula
K60.5,Anorectal fistula
K61,Abscess of anal and rectal regions
K61.0,Anal abscess
K61.1,Rectal abscess
K61.3,Ischiorectal abscess
K61.39,Other ischiorectal abscess
K62.0,Anal polyp
K62.1,Rectal polyp
K62.2,Anal prolapse
K62.3,Rectal prolapse
K62.5,Hemorrhage of anus and rectum
K62.81,Anal sphincter tear (healed) (nontraumatic) (old)
K62.89,Other specified diseases of anus and rectum
K62.9,"Disease of anus and rectum, unspecified"
K63,Other diseases of intestine
K63.0,Abscess of intestine
K63.1,Perforation of intestine (nontraumatic)
K63.2,Fistula of intestine
K63.4,Enteroptosis
K63.89,Other specified diseases of intestine
K63.9,"Disease of intestine, unspecified"
K64,Hemorrhoids and perianal venous thrombosis
K64.8,Other hemorrhoids
K64.9,Unspecified hemorrhoids
K65.0,Generalized (acute) peritonitis
K65.1,Peritoneal abscess
K65.9,"Peritonitis, unspecified"
K66.1,Hemoperitoneum
K66.8,Other specified disorders of peritoneum
K68.11,Postprocedural retroperitoneal abscess
K70,Alcoholic liver disease
K70.0,Alcoholic fatty liver
K70.1,Alcoholic hepatitis
K70.10,Alcoholic hepatitis without ascites
K70.11,Alcoholic hepatitis with ascites
K70.3,Alcoholic cirrhosis of liver
K70.30,Alcoholic cirrhosis of liver without ascites
K70.31,Alcoholic cirrhosis of liver with ascites
K70.4,Alcoholic hepatic failure
K70.40,Alcoholic hepatic failure without coma
K70.41,Alcoholic hepatic failure with coma
K70.9,"Alcoholic liver disease, unspecified"
K71,Toxic liver disease
K71.1,Toxic liver disease with hepatic necrosis
K71.6,"Toxic liver disease with hepatitis, not elsewhere classified"
K71.9,"Toxic liver disease, unspecified"
K72,"Hepatic failure, not elsewhere classified"
K72.0,Acute and subacute hepatic failure
K72.00,Acute and subacute hepatic failure without coma
K72.01,Acute and subacute hepatic failure with coma
K72.1,Chronic hepatic failure
K72.10,Chronic hepatic failure without coma
K72.9,"Hepatic failure, unspecified"
K72.90,"Hepatic failure, unspecified without coma"
K72.91,"Hepatic failure, unspecified with coma"
K73,"Chronic hepatitis, not elsewhere classified"
K73.9,"Chronic hepatitis, unspecified"
K74.1,Hepatic sclerosis
K74.60,Unspecified cirrhosis of liver
K74.69,Other cirrhosis of liver
K75.0,Abscess of liver
K75.4,Autoimmune hepatitis
K75.81,Nonalcoholic steatohepatitis (NASH)
K75.9,"Inflammatory liver disease, unspecified"
K76,Other diseases of liver
K76.0,"Fatty (change of) liver, not elsewhere classified"
K76.2,Central hemorrhagic necrosis of liver
K76.7,Hepatorenal syndrome
K76.82,Hepatic encephalopathy
K76.89,Other specified diseases of liver
K76.9,"Liver disease, unspecified"
K77,Liver disorders in diseases classified elsewhere
K80,Cholelithiasis
K80.0,Calculus of gallbladder with acute cholecystitis
K80.00,Calculus of gallbladder with acute cholecystitis without obstruction
K80.01,Calculus of gallbladder with acute cholecystitis with obstruction
K80.1,Calculus of gallbladder with other cholecystitis
K80.11,Calculus of gallbladder with chronic cholecystitis with obstruction
K80.18,Calculus of gallbladder with other cholecystitis without obstruction
K80.19,Calculus of gallbladder with other cholecystitis with obstruction
K80.2,Calculus of gallbladder without cholecystitis
K80.20,Calculus of gallbladder without cholecystitis without obstruction
K80.21,Calculus of gallbladder without cholecystitis with obstruction
K80.30,"Calculus of bile duct with cholangitis, unspecified, without obstruction"
K80.42,Calculus of bile duct with acute cholecystitis without obstruction
K80.43,Calculus of bile duct with acute cholecystitis with obstruction
K80.5,Calculus of bile duct without cholangitis or cholecystitis
K80.50,Calculus of bile duct without cholangitis or cholecystitis without obstruction
K80.51,Calculus of bile duct without cholangitis or cholecystitis with obstruction
K80.63,Calculus of gallbladder and bile duct with acute cholecystitis with obstruction
K80.66,Calculus of gallbladder and bile duct with acute and chronic cholecystitis without obstruction
K80.70,Calculus of gallbladder and bile duct without cholecystitis without obstruction
K80.71,Calculus of gallbladder and bile duct without cholecystitis with obstruction
K80.80,Other cholelithiasis without obstruction
K80.81,Other cholelithiasis with obstruction
K81,Cholecystitis
K81.0,Acute cholecystitis
K81.1,Chronic cholecystitis
K81.2,Acute cholecystitis with chronic cholecystitis
K81.9,"Cholecystitis, unspecified"
K82,Other diseases of gallbladder
K82.0,Obstruction of gallbladder
K82.1,Hydrops of gallbladder
K82.2,Perforation of gallbladder
K82.8,Other specified diseases of gallbladder
K82.9,"Disease of gallbladder, unspecified"
K83.09,Other cholangitis
K83.1,Obstruction of bile duct
K83.2,Perforation of bile duct
K83.8,Other specified diseases of biliary tract
K83.9,"Disease of biliary tract, unspecified"
K85,Acute pancreatitis
K85.0,Idiopathic acute pancreatitis
K85.2,Alcohol induced acute pancreatitis
K85.20,Alcohol induced acute pancreatitis without necrosis or infection
K85.21,Alcohol induced acute pancreatitis with uninfected necrosis
K85.31,Drug induced acute pancreatitis with uninfected necrosis
K85.9,"Acute pancreatitis, unspecified"
K85.90,"Acute pancreatitis without necrosis or infection, unspecified"
K85.91,"Acute pancreatitis with uninfected necrosis, unspecified"
K85.92,"Acute pancreatitis with infected necrosis, unspecified"
K86.0,Alcohol-induced chronic pancreatitis
K86.1,Other chronic pancreatitis
K86.2,Cyst of pancreas
K86.8,Other specified diseases of pancreas
K86.89,Other specified diseases of pancreas
K86.9,"Disease of pancreas, unspecified"
K90.0,Celiac disease
K90.3,Pancreatic steatorrhea
K90.8,Other intestinal malabsorption
K91,"Intraoperative and postprocedural complications and disorders of digestive system, not elsewhere classified"
K91.0,Vomiting following gastrointestinal surgery
K91.3,Postprocedural intestinal obstruction
K91.62,Intraoperative hemorrhage and hematoma of a digestive system organ or structure complicating other procedure
K91.71,Accidental puncture and laceration of a digestive system organ or structure during a digestive system procedure
K91.840,Postprocedural hemorrhage of a digestive system organ or structure following a digestive system procedure
K91.841,Postprocedural hemorrhage of a digestive system organ or structure following other procedure
K91.89,Other postprocedural complications and disorders of digestive system
K92,Other diseases of digestive system
K92.0,Hematemesis
K92.1,Melena
K92.2,"Gastrointestinal hemorrhage, unspecified"
K92.9,"Disease of digestive system, unspecified"
K94.0,Colostomy complications
K94.00,"Colostomy complication, unspecified"
K94.01,Colostomy hemorrhage
K94.02,Colostomy infection
K94.03,Colostomy malfunction
K94.09,Other complications of colostomy
K94.10,"Enterostomy complication, unspecified"
K94.13,Enterostomy malfunction
K94.19,Other complications of enterostomy
K94.2,Gastrostomy complications
K94.20,"Gastrostomy complication, unspecified"
K94.21,Gastrostomy hemorrhage
K94.22,Gastrostomy infection
K94.23,Gastrostomy malfunction
K94.29,Other complications of gastrostomy
K95.0,Complications of gastric band procedure
K95.09,Other complications of gastric band procedure
L00,Staphylococcal scalded skin syndrome
L01.00,"Impetigo, unspecified"
L02,"Cutaneous abscess, furuncle and carbuncle"
L02.01,Cutaneous abscess of face
L02.11,Cutaneous abscess of neck
L02.211,Cutaneous abscess of abdominal wall
L02.212,"Cutaneous abscess of back [any part, except buttock]"
L02.213,Cutaneous abscess of chest wall
L02.214,Cutaneous abscess of groin
L02.215,Cutaneous abscess of perineum
L02.219,"Cutaneous abscess of trunk, unspecified"
L02.224,Furuncle of groin
L02.31,Cutaneous abscess of buttock
L02.32,Furuncle of buttock
L02.33,Carbuncle of buttock
L02.413,Cutaneous abscess of right upper limb
L02.415,Cutaneous abscess of right lower limb
L02.416,Cutaneous abscess of left lower limb
L02.419,"Cutaneous abscess of limb, unspecified"
L02.439,"Carbuncle of limb, unspecified"
L02.511,Cutaneous abscess of right hand
L02.512,Cutaneous abscess of left hand
L02.519,Cutaneous abscess of unspecified hand
L02.611,Cutaneous abscess of right foot
L02.612,Cutaneous abscess of left foot
L02.619,Cutaneous abscess of unspecified foot
L02.811,"Cutaneous abscess of head [any part, except face]"
L02.91,"Cutaneous abscess, unspecified"
L02.92,"Furuncle, unspecified"
L03.011,Cellulitis of right finger
L03.019,Cellulitis of unspecified finger
L03.03,Cellulitis of toe
L03.031,Cellulitis of right toe
L03.032,Cellulitis of left toe
L03.039,Cellulitis of unspecified toe
L03.1,Cellulitis and acute lymphangitis of other parts of limb
L03.11,Cellulitis of other parts of limb
L03.113,Cellulitis of right upper limb
L03.114,Cellulitis of left upper limb
L03.115,Cellulitis of right lower limb
L03.116,Cellulitis of left lower limb
L03.119,Cellulitis of unspecified part of limb
L03.125,Acute lymphangitis of right lower limb
L03.126,Acute lymphangitis of left lower limb
L03.129,Acute lymphangitis of unspecified part of limb
L03.2,Cellulitis and acute lymphangitis of face and neck
L03.211,Cellulitis of face
L03.221,Cellulitis of neck
L03.311,Cellulitis of abdominal wall
L03.312,Cellulitis of back [any part except buttock]
L03.313,Cellulitis of chest wall
L03.314,Cellulitis of groin
L03.315,Cellulitis of perineum
L03.316,Cellulitis of umbilicus
L03.317,Cellulitis of buttock
L03.319,"Cellulitis of trunk, unspecified"
L03.81,Cellulitis of other sites
L03.811,"Cellulitis of head [any part, except face]"
L03.818,Cellulitis of other sites
L03.9,"Cellulitis and acute lymphangitis, unspecified"
L03.90,"Cellulitis, unspecified"
L03.91,"Acute lymphangitis, unspecified"
L08,Other local infections of skin and subcutaneous tissue
L08.0,Pyoderma
L08.1,Erythrasma
L08.8,Other specified local infections of the skin and subcutaneous tissue
L08.81,Pyoderma vegetans
L08.89,Other specified local infections of the skin and subcutaneous tissue
L08.9,"Local infection of the skin and subcutaneous tissue, unspecified"
L10,Pemphigus
L12.0,Bullous pemphigoid
L22,Diaper dermatitis
L23,Allergic contact dermatitis
L23.3,Allergic contact dermatitis due to drugs in contact with skin
L23.4,Allergic contact dermatitis due to dyes
L23.6,Allergic contact dermatitis due to food in contact with the skin
L23.8,Allergic contact dermatitis due to other agents
L23.81,Allergic contact dermatitis due to animal (cat) (dog) dander
L23.89,Allergic contact dermatitis due to other agents
L23.9,"Allergic contact dermatitis, unspecified cause"
L24,Irritant contact dermatitis
L24.5,Irritant contact dermatitis due to other chemical products
L24.9,"Irritant contact dermatitis, unspecified cause"
L25.3,Unspecified contact dermatitis due to other chemical products
L25.9,"Unspecified contact dermatitis, unspecified cause"
L27.0,Generalized skin eruption due to drugs and medicaments taken internally
L27.2,Dermatitis due to ingested food
L29,Pruritus
L29.8,Other pruritus
L29.9,"Pruritus, unspecified"
L30.9,"Dermatitis, unspecified"
L40.9,"Psoriasis, unspecified"
L50,Urticaria
L50.0,Allergic urticaria
L50.2,Urticaria due to cold and heat
L50.8,Other urticaria
L50.9,"Urticaria, unspecified"
L51.1,Stevens-Johnson syndrome
L51.9,"Erythema multiforme, unspecified"
L53.9,"Erythematous condition, unspecified"
L55,Sunburn
L55.0,Sunburn of first degree
L55.1,Sunburn of second degree
L55.2,Sunburn of third degree
L55.9,"Sunburn, unspecified"
L60.0,Ingrowing nail
L65.9,"Nonscarring hair loss, unspecified"
L71.0,Perioral dermatitis
L72.0,Epidermal cyst
L72.3,Sebaceous cyst
L74.9,"Eccrine sweat disorder, unspecified"
L75.8,Other apocrine sweat disorders
L76,Intraoperative and postprocedural complications of skin and subcutaneous tissue
L76.12,Accidental puncture and laceration of skin and subcutaneous tissue during other procedure
L76.21,Postprocedural hemorrhage of skin and subcutaneous tissue following a dermatologic procedure
L76.22,Postprocedural hemorrhage of skin and subcutaneous tissue following other procedure
L76.82,Other postprocedural complications of skin and subcutaneous tissue
L84,Corns and callosities
L85.8,Other specified epidermal thickening
L88,Pyoderma gangrenosum
L89,Pressure ulcer
L89.0,Pressure ulcer of elbow
L89.000,"Pressure ulcer of unspecified elbow, unstageable"
L89.009,"Pressure ulcer of unspecified elbow, unspecified stage"
L89.011,"Pressure ulcer of right elbow, stage 1"
L89.1,Pressure ulcer of back
L89.10,Pressure ulcer of unspecified part of back
L89.100,"Pressure ulcer of unspecified part of back, unstageable"
L89.103,"Pressure ulcer of unspecified part of back, stage 3"
L89.104,"Pressure ulcer of unspecified part of back, stage 4"
L89.109,"Pressure ulcer of unspecified part of back, unspecified stage"
L89.119,"Pressure ulcer of right upper back, unspecified stage"
L89.121,"Pressure ulcer of left upper back, stage 1"
L89.131,"Pressure ulcer of right lower back, stage 1"
L89.132,"Pressure ulcer of right lower back, stage 2"
L89.133,"Pressure ulcer of right lower back, stage 3"
L89.134,"Pressure ulcer of right lower back, stage 4"
L89.140,"Pressure ulcer of left lower back, unstageable"
L89.141,"Pressure ulcer of left lower back, stage 1"
L89.142,"Pressure ulcer of left lower back, stage 2"
L89.143,"Pressure ulcer of left lower back, stage 3"
L89.144,"Pressure ulcer of left lower back, stage 4"
L89.149,"Pressure ulcer of left lower back, unspecified stage"
L89.15,Pressure ulcer of sacral region
L89.150,"Pressure ulcer of sacral region, unstageable"
L89.151,"Pressure ulcer of sacral region, stage 1"
L89.152,"Pressure ulcer of sacral region, stage 2"
L89.153,"Pressure ulcer of sacral region, stage 3"
L89.154,"Pressure ulcer of sacral region, stage 4"
L89.159,"Pressure ulcer of sacral region, unspecified stage"
L89.2,Pressure ulcer of hip
L89.200,"Pressure ulcer of unspecified hip, unstageable"
L89.203,"Pressure ulcer of unspecified hip, stage 3"
L89.204,"Pressure ulcer of unspecified hip, stage 4"
L89.209,"Pressure ulcer of unspecified hip, unspecified stage"
L89.211,"Pressure ulcer of right hip, stage 1"
L89.213,"Pressure ulcer of right hip, stage 3"
L89.214,"Pressure ulcer of right hip, stage 4"
L89.219,"Pressure ulcer of right hip, unspecified stage"
L89.22,Pressure ulcer of left hip
L89.221,"Pressure ulcer of left hip, stage 1"
L89.223,"Pressure ulcer of left hip, stage 3"
L89.229,"Pressure ulcer of left hip, unspecified stage"
L89.3,Pressure ulcer of buttock
L89.30,Pressure ulcer of unspecified buttock
L89.300,"Pressure ulcer of unspecified buttock, unstageable"
L89.302,"Pressure ulcer of unspecified buttock, stage 2"
L89.303,"Pressure ulcer of unspecified buttock, stage 3"
L89.304,"Pressure ulcer of unspecified buttock, stage 4"
L89.309,"Pressure ulcer of unspecified buttock, unspecified stage"
L89.31,Pressure ulcer of right buttock
L89.311,"Pressure ulcer of right buttock, stage 1"
L89.312,"Pressure ulcer of right buttock, stage 2"
L89.313,"Pressure ulcer of right buttock, stage 3"
L89.314,"Pressure ulcer of right buttock, stage 4"
L89.319,"Pressure ulcer of right buttock, unspecified stage"
L89.32,Pressure ulcer of left buttock
L89.323,"Pressure ulcer of left buttock, stage 3"
L89.324,"Pressure ulcer of left buttock, stage 4"
L89.329,"Pressure ulcer of left buttock, unspecified stage"
L89.4,"Pressure ulcer of contiguous site of back, buttock and hip"
L89.40,"Pressure ulcer of contiguous site of back, buttock and hip, unspecified stage"
L89.41,"Pressure ulcer of contiguous site of back, buttock and hip, stage 1"
L89.42,"Pressure ulcer of contiguous site of back, buttock and hip, stage 2"
L89.43,"Pressure ulcer of contiguous site of back, buttock and hip, stage 3"
L89.44,"Pressure ulcer of contiguous site of back, buttock and hip, stage 4"
L89.5,Pressure ulcer of ankle
L89.50,Pressure ulcer of unspecified ankle
L89.503,"Pressure ulcer of unspecified ankle, stage 3"
L89.509,"Pressure ulcer of unspecified ankle, unspecified stage"
L89.51,Pressure ulcer of right ankle
L89.511,"Pressure ulcer of right ankle, stage 1"
L89.512,"Pressure ulcer of right ankle, stage 2"
L89.513,"Pressure ulcer of right ankle, stage 3"
L89.519,"Pressure ulcer of right ankle, unspecified stage"
L89.52,Pressure ulcer of left ankle
L89.520,"Pressure ulcer of left ankle, unstageable"
L89.522,"Pressure ulcer of left ankle, stage 2"
L89.523,"Pressure ulcer of left ankle, stage 3"
L89.6,Pressure ulcer of heel
L89.602,"Pressure ulcer of unspecified heel, stage 2"
L89.603,"Pressure ulcer of unspecified heel, stage 3"
L89.609,"Pressure ulcer of unspecified heel, unspecified stage"
L89.61,Pressure ulcer of right heel
L89.610,"Pressure ulcer of right heel, unstageable"
L89.611,"Pressure ulcer of right heel, stage 1"
L89.613,"Pressure ulcer of right heel, stage 3"
L89.614,"Pressure ulcer of right heel, stage 4"
L89.619,"Pressure ulcer of right heel, unspecified stage"
L89.62,Pressure ulcer of left heel
L89.620,"Pressure ulcer of left heel, unstageable"
L89.621,"Pressure ulcer of left heel, stage 1"
L89.622,"Pressure ulcer of left heel, stage 2"
L89.623,"Pressure ulcer of left heel, stage 3"
L89.629,"Pressure ulcer of left heel, unspecified stage"
L89.819,"Pressure ulcer of head, unspecified stage"
L89.890,"Pressure ulcer of other site, unstageable"
L89.891,"Pressure ulcer of other site, stage 1"
L89.892,"Pressure ulcer of other site, stage 2"
L89.893,"Pressure ulcer of other site, stage 3"
L89.894,"Pressure ulcer of other site, stage 4"
L89.899,"Pressure ulcer of other site, unspecified stage"
L89.9,Pressure ulcer of unspecified site
L89.90,"Pressure ulcer of unspecified site, unspecified stage"
L89.92,"Pressure ulcer of unspecified site, stage 2"
L89.93,"Pressure ulcer of unspecified site, stage 3"
L89.94,"Pressure ulcer of unspecified site, stage 4"
L89.95,"Pressure ulcer of unspecified site, unstageable"
L89.96,Pressure-induced deep tissue damage of unspecified site
L91.8,Other hypertrophic disorders of the skin
L93,Lupus erythematosus
L93.2,Other local lupus erythematosus
L94.2,Calcinosis cutis
L95.1,Erythema elevatum diutinum
L95.9,"Vasculitis limited to the skin, unspecified"
L97.109,Non-pressure chronic ulcer of unspecified thigh with unspecified severity
L97.129,Non-pressure chronic ulcer of left thigh with unspecified severity
L97.222,Non-pressure chronic ulcer of left calf with fat layer exposed
L97.309,Non-pressure chronic ulcer of unspecified ankle with unspecified severity
L97.319,Non-pressure chronic ulcer of right ankle with unspecified severity
