eSituation_11,DiagnosisCodeDescr
L27.2,Dermatitis due to ingested food
L27.9,Dermatitis due to unspecified substance taken internally
L29,Pruritus
L29.8,Other pruritus
L29.9,"Pruritus, unspecified"
L30.9,"Dermatitis, unspecified"
L40.0,Psoriasis vulgaris
L40.8,Other psoriasis
L40.9,"Psoriasis, unspecified"
L50,Urticaria
L50.0,Allergic urticaria
L50.2,Urticaria due to cold and heat
L50.8,Other urticaria
L50.9,"Urticaria, unspecified"
L51.1,Stevens-Johnson syndrome
L51.3,Stevens-Johnson syndrome-toxic epidermal necrolysis overlap syndrome
L51.8,Other erythema multiforme
L53.9,"Erythematous condition, unspecified"
L55,Sunburn
L55.0,Sunburn of first degree
L55.1,Sunburn of second degree
L55.2,Sunburn of third degree
L55.9,"Sunburn, unspecified"
L56.1,Drug photoallergic response
L60.0,Ingrowing nail
L65,Other nonscarring hair loss
L71.0,Perioral dermatitis
L72.0,Epidermal cyst
L72.3,Sebaceous cyst
L72.8,Other follicular cysts of the skin and subcutaneous tissue
L72.9,"Follicular cyst of the skin and subcutaneous tissue, unspecified"
L75.8,Other apocrine sweat disorders
L76,Intraoperative and postprocedural complications of skin and subcutaneous tissue
L76.12,Accidental puncture and laceration of skin and subcutaneous tissue during other procedure
L76.2,Postprocedural hemorrhage of skin and subcutaneous tissue following a procedure
L76.21,Postprocedural hemorrhage of skin and subcutaneous tissue following a dermatologic procedure
L76.22,Postprocedural hemorrhage of skin and subcutaneous tissue following other procedure
L76.82,Other postprocedural complications of skin and subcutaneous tissue
L85.8,Other specified epidermal thickening
L89,Pressure ulcer
L89.000,"Pressure ulcer of unspecified elbow, unstageable"
L89.009,"Pressure ulcer of unspecified elbow, unspecified stage"
L89.1,Pressure ulcer of back
L89.10,Pressure ulcer of unspecified part of back
L89.100,"Pressure ulcer of unspecified part of back, unstageable"
L89.103,"Pressure ulcer of unspecified part of back, stage 3"
L89.104,"Pressure ulcer of unspecified part of back, stage 4"
L89.109,"Pressure ulcer of unspecified part of back, unspecified stage"
L89.113,"Pressure ulcer of right upper back, stage 3"
L89.119,"Pressure ulcer of right upper back, unspecified stage"
L89.121,"Pressure ulcer of left upper back, stage 1"
L89.131,"Pressure ulcer of right lower back, stage 1"
L89.132,"Pressure ulcer of right lower back, stage 2"
L89.134,"Pressure ulcer of right lower back, stage 4"
L89.139,"Pressure ulcer of right lower back, unspecified stage"
L89.141,"Pressure ulcer of left lower back, stage 1"
L89.142,"Pressure ulcer of left lower back, stage 2"
L89.143,"Pressure ulcer of left lower back, stage 3"
L89.144,"Pressure ulcer of left lower back, stage 4"
L89.149,"Pressure ulcer of left lower back, unspecified stage"
L89.15,Pressure ulcer of sacral region
L89.150,"Pressure ulcer of sacral region, unstageable"
L89.151,"Pressure ulcer of sacral region, stage 1"
L89.152,"Pressure ulcer of sacral region, stage 2"
L89.153,"Pressure ulcer of sacral region, stage 3"
L89.154,"Pressure ulcer of sacral region, stage 4"
L89.159,"Pressure ulcer of sacral region, unspecified stage"
L89.2,Pressure ulcer of hip
L89.203,"Pressure ulcer of unspecified hip, stage 3"
L89.209,"Pressure ulcer of unspecified hip, unspecified stage"
L89.211,"Pressure ulcer of right hip, stage 1"
L89.220,"Pressure ulcer of left hip, unstageable"
L89.221,"Pressure ulcer of left hip, stage 1"
L89.222,"Pressure ulcer of left hip, stage 2"
L89.224,"Pressure ulcer of left hip, stage 4"
L89.3,Pressure ulcer of buttock
L89.30,Pressure ulcer of unspecified buttock
L89.300,"Pressure ulcer of unspecified buttock, unstageable"
L89.302,"Pressure ulcer of unspecified buttock, stage 2"
L89.303,"Pressure ulcer of unspecified buttock, stage 3"
L89.304,"Pressure ulcer of unspecified buttock, stage 4"
L89.309,"Pressure ulcer of unspecified buttock, unspecified stage"
L89.31,Pressure ulcer of right buttock
L89.311,"Pressure ulcer of right buttock, stage 1"
L89.312,"Pressure ulcer of right buttock, stage 2"
L89.313,"Pressure ulcer of right buttock, stage 3"
L89.314,"Pressure ulcer of right buttock, stage 4"
L89.319,"Pressure ulcer of right buttock, unspecified stage"
L89.32,Pressure ulcer of left buttock
L89.321,"Pressure ulcer of left buttock, stage 1"
L89.322,"Pressure ulcer of left buttock, stage 2"
L89.323,"Pressure ulcer of left buttock, stage 3"
L89.324,"Pressure ulcer of left buttock, stage 4"
L89.329,"Pressure ulcer of left buttock, unspecified stage"
L89.4,"Pressure ulcer of contiguous site of back, buttock and hip"
L89.40,"Pressure ulcer of contiguous site of back, buttock and hip, unspecified stage"
L89.41,"Pressure ulcer of contiguous site of back, buttock and hip, stage 1"
L89.42,"Pressure ulcer of contiguous site of back, buttock and hip, stage 2"
L89.43,"Pressure ulcer of contiguous site of back, buttock and hip, stage 3"
L89.44,"Pressure ulcer of contiguous site of back, buttock and hip, stage 4"
L89.5,Pressure ulcer of ankle
L89.50,Pressure ulcer of unspecified ankle
L89.509,"Pressure ulcer of unspecified ankle, unspecified stage"
L89.511,"Pressure ulcer of right ankle, stage 1"
L89.512,"Pressure ulcer of right ankle, stage 2"
L89.513,"Pressure ulcer of right ankle, stage 3"
L89.519,"Pressure ulcer of right ankle, unspecified stage"
L89.52,Pressure ulcer of left ankle
L89.520,"Pressure ulcer of left ankle, unstageable"
L89.521,"Pressure ulcer of left ankle, stage 1"
L89.522,"Pressure ulcer of left ankle, stage 2"
L89.6,Pressure ulcer of heel
L89.60,Pressure ulcer of unspecified heel
L89.600,"Pressure ulcer of unspecified heel, unstageable"
L89.603,"Pressure ulcer of unspecified heel, stage 3"
L89.609,"Pressure ulcer of unspecified heel, unspecified stage"
L89.610,"Pressure ulcer of right heel, unstageable"
L89.611,"Pressure ulcer of right heel, stage 1"
L89.612,"Pressure ulcer of right heel, stage 2"
L89.613,"Pressure ulcer of right heel, stage 3"
L89.614,"Pressure ulcer of right heel, stage 4"
L89.619,"Pressure ulcer of right heel, unspecified stage"
L89.620,"Pressure ulcer of left heel, unstageable"
L89.621,"Pressure ulcer of left heel, stage 1"
L89.622,"Pressure ulcer of left heel, stage 2"
L89.623,"Pressure ulcer of left heel, stage 3"
L89.624,"Pressure ulcer of left heel, stage 4"
L89.629,"Pressure ulcer of left heel, unspecified stage"
L89.8,Pressure ulcer of other site
L89.81,Pressure ulcer of head
L89.813,"Pressure ulcer of head, stage 3"
L89.819,"Pressure ulcer of head, unspecified stage"
L89.89,Pressure ulcer of other site
L89.890,"Pressure ulcer of other site, unstageable"
L89.891,"Pressure ulcer of other site, stage 1"
L89.892,"Pressure ulcer of other site, stage 2"
L89.893,"Pressure ulcer of other site, stage 3"
L89.894,"Pressure ulcer of other site, stage 4"
L89.899,"Pressure ulcer of other site, unspecified stage"
L89.9,Pressure ulcer of unspecified site
L89.90,"Pressure ulcer of unspecified site, unspecified stage"
L89.92,"Pressure ulcer of unspecified site, stage 2"
L89.93,"Pressure ulcer of unspecified site, stage 3"
L89.94,"Pressure ulcer of unspecified site, stage 4"
L89.95,"Pressure ulcer of unspecified site, unstageable"
L89.96,Pressure-induced deep tissue damage of unspecified site
L91.8,Other hypertrophic disorders of the skin
L92.1,"Necrobiosis lipoidica, not elsewhere classified"
L93,Lupus erythematosus
L93.0,Discoid lupus erythematosus
L93.2,Other local lupus erythematosus
L94.2,Calcinosis cutis
L95.1,Erythema elevatum diutinum
L95.9,"Vasculitis limited to the skin, unspecified"
L97.209,Non-pressure chronic ulcer of unspecified calf with unspecified severity
L97.221,Non-pressure chronic ulcer of left calf limited to breakdown of skin
L97.222,Non-pressure chronic ulcer of left calf with fat layer exposed
L97.319,Non-pressure chronic ulcer of right ankle with unspecified severity
L97.329,Non-pressure chronic ulcer of left ankle with unspecified severity
L97.4,Non-pressure chronic ulcer of heel and midfoot
L97.409,Non-pressure chronic ulcer of unspecified heel and midfoot with unspecified severity
L97.411,Non-pressure chronic ulcer of right heel and midfoot limited to breakdown of skin
L97.414,Non-pressure chronic ulcer of right heel and midfoot with necrosis of bone
L97.419,Non-pressure chronic ulcer of right heel and midfoot with unspecified severity
L97.421,Non-pressure chronic ulcer of left heel and midfoot limited to breakdown of skin
L97.423,Non-pressure chronic ulcer of left heel and midfoot with necrosis of muscle
L97.424,Non-pressure chronic ulcer of left heel and midfoot with necrosis of bone
L97.429,Non-pressure chronic ulcer of left heel and midfoot with unspecified severity
L97.5,Non-pressure chronic ulcer of other part of foot
L97.501,Non-pressure chronic ulcer of other part of unspecified foot limited to breakdown of skin
L97.503,Non-pressure chronic ulcer of other part of unspecified foot with necrosis of muscle
L97.509,Non-pressure chronic ulcer of other part of unspecified foot with unspecified severity
L97.519,Non-pressure chronic ulcer of other part of right foot with unspecified severity
L97.529,Non-pressure chronic ulcer of other part of left foot with unspecified severity
L97.801,Non-pressure chronic ulcer of other part of unspecified lower leg limited to breakdown of skin
L97.804,Non-pressure chronic ulcer of other part of unspecified lower leg with necrosis of bone
L97.809,Non-pressure chronic ulcer of other part of unspecified lower leg with unspecified severity
L97.813,Non-pressure chronic ulcer of other part of right lower leg with necrosis of muscle
L97.829,Non-pressure chronic ulcer of other part of left lower leg with unspecified severity
L97.909,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with unspecified severity
L97.921,Non-pressure chronic ulcer of unspecified part of left lower leg limited to breakdown of skin
L97.929,Non-pressure chronic ulcer of unspecified part of left lower leg with unspecified severity
L98,"Other disorders of skin and subcutaneous tissue, not elsewhere classified"
L98.4,"Non-pressure chronic ulcer of skin, not elsewhere classified"
L98.41,Non-pressure chronic ulcer of buttock
L98.411,Non-pressure chronic ulcer of buttock limited to breakdown of skin
L98.412,Non-pressure chronic ulcer of buttock with fat layer exposed
L98.414,Non-pressure chronic ulcer of buttock with necrosis of bone
L98.419,Non-pressure chronic ulcer of buttock with unspecified severity
L98.424,Non-pressure chronic ulcer of back with necrosis of bone
L98.429,Non-pressure chronic ulcer of back with unspecified severity
L98.49,Non-pressure chronic ulcer of skin of other sites
L98.491,Non-pressure chronic ulcer of skin of other sites limited to breakdown of skin
L98.492,Non-pressure chronic ulcer of skin of other sites with fat layer exposed
L98.499,Non-pressure chronic ulcer of skin of other sites with unspecified severity
L98.8,Other specified disorders of the skin and subcutaneous tissue
L98.9,"Disorder of the skin and subcutaneous tissue, unspecified"
M00.20,"Other streptococcal arthritis, unspecified joint"
M00.80,"Arthritis due to other bacteria, unspecified joint"
M01,Direct infections of joint in infectious and parasitic diseases classified elsewhere
M01.X41,Direct infection of right hand in infectious and parasitic diseases classified elsewhere
M01.X42,Direct infection of left hand in infectious and parasitic diseases classified elsewhere
M01.X49,Direct infection of unspecified hand in infectious and parasitic diseases classified elsewhere
M01.X52,Direct infection of left hip in infectious and parasitic diseases classified elsewhere
M01.X59,Direct infection of unspecified hip in infectious and parasitic diseases classified elsewhere
M01.X62,Direct infection of left knee in infectious and parasitic diseases classified elsewhere
M01.X71,Direct infection of right ankle and foot in infectious and parasitic diseases classified elsewhere
M01.X79,Direct infection of unspecified ankle and foot in infectious and parasitic diseases classified elsewhere
M05.242,Rheumatoid vasculitis with rheumatoid arthritis of left hand
M05.27,Rheumatoid vasculitis with rheumatoid arthritis of ankle and foot
M05.572,Rheumatoid polyneuropathy with rheumatoid arthritis of left ankle and foot
M05.59,Rheumatoid polyneuropathy with rheumatoid arthritis of multiple sites
M05.651,Rheumatoid arthritis of right hip with involvement of other organs and systems
M05.66,Rheumatoid arthritis of knee with involvement of other organs and systems
M05.86,Other rheumatoid arthritis with rheumatoid factor of knee
M05.861,Other rheumatoid arthritis with rheumatoid factor of right knee
M05.9,"Rheumatoid arthritis with rheumatoid factor, unspecified"
M06,Other rheumatoid arthritis
M06.849,"Other specified rheumatoid arthritis, unspecified hand"
M06.9,"Rheumatoid arthritis, unspecified"
M08.00,Unspecified juvenile rheumatoid arthritis of unspecified site
M10,Gout
M10.0,Idiopathic gout
M10.00,"Idiopathic gout, unspecified site"
M10.061,"Idiopathic gout, right knee"
M10.079,"Idiopathic gout, unspecified ankle and foot"
M10.20,"Drug-induced gout, unspecified site"
M10.30,"Gout due to renal impairment, unspecified site"
M10.362,"Gout due to renal impairment, left knee"
M10.9,"Gout, unspecified"
M11.2,Other chondrocalcinosis
M11.851,"Other specified crystal arthropathies, right hip"
M11.852,"Other specified crystal arthropathies, left hip"
M11.859,"Other specified crystal arthropathies, unspecified hip"
M11.869,"Other specified crystal arthropathies, unspecified knee"
M12.50,"Traumatic arthropathy, unspecified site"
M12.551,"Traumatic arthropathy, right hip"
M12.552,"Traumatic arthropathy, left hip"
M12.569,"Traumatic arthropathy, unspecified knee"
M12.572,"Traumatic arthropathy, left ankle and foot"
M12.58,"Traumatic arthropathy, other specified site"
M12.59,"Traumatic arthropathy, multiple sites"
M12.861,"Other specific arthropathies, not elsewhere classified, right knee"
M12.862,"Other specific arthropathies, not elsewhere classified, left knee"
M12.9,"Arthropathy, unspecified"
M13,Other arthritis
M13.0,"Polyarthritis, unspecified"
M13.8,Other specified arthritis
M13.80,"Other specified arthritis, unspecified site"
M13.859,"Other specified arthritis, unspecified hip"
M13.862,"Other specified arthritis, left knee"
M13.872,"Other specified arthritis, left ankle and foot"
M14.811,"Arthropathies in other specified diseases classified elsewhere, right shoulder"
M14.831,"Arthropathies in other specified diseases classified elsewhere, right wrist"
M15.0,Primary generalized (osteo)arthritis
M15.4,Erosive (osteo)arthritis
M16.0,Bilateral primary osteoarthritis of hip
M16.11,"Unilateral primary osteoarthritis, right hip"
M16.12,"Unilateral primary osteoarthritis, left hip"
M16.32,"Unilateral osteoarthritis resulting from hip dysplasia, left hip"
M16.50,"Unilateral post-traumatic osteoarthritis, unspecified hip"
M16.9,"Osteoarthritis of hip, unspecified"
M17,Osteoarthritis of knee
M17.0,Bilateral primary osteoarthritis of knee
M17.10,"Unilateral primary osteoarthritis, unspecified knee"
M17.11,"Unilateral primary osteoarthritis, right knee"
M17.12,"Unilateral primary osteoarthritis, left knee"
M17.9,"Osteoarthritis of knee, unspecified"
M19.0,Primary osteoarthritis of other joints
M19.011,"Primary osteoarthritis, right shoulder"
M19.012,"Primary osteoarthritis, left shoulder"
M19.021,"Primary osteoarthritis, right elbow"
M19.022,"Primary osteoarthritis, left elbow"
M19.031,"Primary osteoarthritis, right wrist"
M19.032,"Primary osteoarthritis, left wrist"
M19.041,"Primary osteoarthritis, right hand"
M19.042,"Primary osteoarthritis, left hand"
M19.072,"Primary osteoarthritis, left ankle and foot"
M19.179,"Post-traumatic osteoarthritis, unspecified ankle and foot"
M19.239,"Secondary osteoarthritis, unspecified wrist"
M19.90,"Unspecified osteoarthritis, unspecified site"
M1A,Chronic gout
M1A.0,Idiopathic chronic gout
M1A.30,"Chronic gout due to renal impairment, unspecified site"
M20,Acquired deformities of fingers and toes
M20.0,Deformity of finger(s)
M20.00,Unspecified deformity of finger(s)
M20.002,Unspecified deformity of left finger(s)
M20.009,Unspecified deformity of unspecified finger(s)
M20.092,Other deformity of left finger(s)
M20.5X9,"Other deformities of toe(s) (acquired), unspecified foot"
M20.61,"Acquired deformities of toe(s), unspecified, right foot"
M20.62,"Acquired deformities of toe(s), unspecified, left foot"
M21.20,"Flexion deformity, unspecified site"
M21.211,"Flexion deformity, right shoulder"
M21.212,"Flexion deformity, left shoulder"
M21.219,"Flexion deformity, unspecified shoulder"
M21.22,"Flexion deformity, elbow"
M21.221,"Flexion deformity, right elbow"
M21.229,"Flexion deformity, unspecified elbow"
M21.231,"Flexion deformity, right wrist"
M21.232,"Flexion deformity, left wrist"
M21.239,"Flexion deformity, unspecified wrist"
M21.252,"Flexion deformity, left hip"
M21.261,"Flexion deformity, right knee"
M21.272,"Flexion deformity, left ankle and toes"
M21.371,"Foot drop, right foot"
M21.372,"Foot drop, left foot"
M21.379,"Foot drop, unspecified foot"
M21.619,Bunion of unspecified foot
M21.6X1,Other acquired deformities of right foot
M21.6X9,Other acquired deformities of unspecified foot
M21.752,"Unequal limb length (acquired), left femur"
M21.759,"Unequal limb length (acquired), unspecified femur"
M21.80,Other specified acquired deformities of unspecified limb
M21.821,Other specified acquired deformities of right upper arm
M21.822,Other specified acquired deformities of left upper arm
M21.859,Other specified acquired deformities of unspecified thigh
M21.861,Other specified acquired deformities of right lower leg
M21.90,Unspecified acquired deformity of unspecified limb
M21.92,Unspecified acquired deformity of upper arm
M21.921,Unspecified acquired deformity of right upper arm
M21.922,Unspecified acquired deformity of left upper arm
M21.93,Unspecified acquired deformity of forearm
M21.931,Unspecified acquired deformity of right forearm
M21.932,Unspecified acquired deformity of left forearm
M21.939,Unspecified acquired deformity of unspecified forearm
M21.94,Unspecified acquired deformity of hand
M21.941,"Unspecified acquired deformity of hand, right hand"
M21.942,"Unspecified acquired deformity of hand, left hand"
M21.949,"Unspecified acquired deformity of hand, unspecified hand"
M21.951,Unspecified acquired deformity of right thigh
M21.952,Unspecified acquired deformity of left thigh
M21.959,Unspecified acquired deformity of unspecified thigh
M21.961,Unspecified acquired deformity of right lower leg
M21.962,Unspecified acquired deformity of left lower leg
M21.969,Unspecified acquired deformity of unspecified lower leg
M22,Disorder of patella
M22.0,Recurrent dislocation of patella
M22.00,"Recurrent dislocation of patella, unspecified knee"
M22.02,"Recurrent dislocation of patella, left knee"
M22.90,"Unspecified disorder of patella, unspecified knee"
M22.91,"Unspecified disorder of patella, right knee"
M22.92,"Unspecified disorder of patella, left knee"
M23.6,Other spontaneous disruption of ligament(s) of knee
M23.612,Other spontaneous disruption of anterior cruciate ligament of left knee
M23.632,Other spontaneous disruption of medial collateral ligament of left knee
M23.8X2,Other internal derangements of left knee
M23.90,Unspecified internal derangement of unspecified knee
M23.91,Unspecified internal derangement of right knee
M23.92,Unspecified internal derangement of left knee
M24.22,"Disorder of ligament, elbow"
M24.30,"Pathological dislocation of unspecified joint, not elsewhere classified"
M24.31,"Pathological dislocation of shoulder, not elsewhere classified"
M24.311,"Pathological dislocation of right shoulder, not elsewhere classified"
M24.312,"Pathological dislocation of left shoulder, not elsewhere classified"
M24.319,"Pathological dislocation of unspecified shoulder, not elsewhere classified"
M24.321,"Pathological dislocation of right elbow, not elsewhere classified"
M24.322,"Pathological dislocation of left elbow, not elsewhere classified"
M24.329,"Pathological dislocation of unspecified elbow, not elsewhere classified"
M24.35,"Pathological dislocation of hip, not elsewhere classified"
M24.352,"Pathological dislocation of left hip, not elsewhere classified"
M24.359,"Pathological dislocation of unspecified hip, not elsewhere classified"
M24.36,"Pathological dislocation of knee, not elsewhere classified"
M24.369,"Pathological dislocation of unspecified knee, not elsewhere classified"
M24.373,"Pathological dislocation of unspecified ankle, not elsewhere classified"
M24.376,"Pathological dislocation of unspecified foot, not elsewhere classified"
M24.40,"Recurrent dislocation, unspecified joint"
M24.411,"Recurrent dislocation, right shoulder"
M24.412,"Recurrent dislocation, left shoulder"
M24.419,"Recurrent dislocation, unspecified shoulder"
M24.452,"Recurrent dislocation, left hip"
M24.459,"Recurrent dislocation, unspecified hip"
M24.469,"Recurrent dislocation, unspecified knee"
M24.49,"Recurrent dislocation, other specified joint"
M24.5,Contracture of joint
M24.50,"Contracture, unspecified joint"
M24.511,"Contracture, right shoulder"
M24.512,"Contracture, left shoulder"
M24.519,"Contracture, unspecified shoulder"
M24.522,"Contracture, left elbow"
M24.529,"Contracture, unspecified elbow"
M24.531,"Contracture, right wrist"
M24.532,"Contracture, left wrist"
M24.541,"Contracture, right hand"
M24.542,"Contracture, left hand"
M24.549,"Contracture, unspecified hand"
M24.551,"Contracture, right hip"
M24.552,"Contracture, left hip"
M24.559,"Contracture, unspecified hip"
M24.561,"Contracture, right knee"
M24.562,"Contracture, left knee"
M24.569,"Contracture, unspecified knee"
M24.571,"Contracture, right ankle"
M24.572,"Contracture, left ankle"
M24.576,"Contracture, unspecified foot"
M24.659,"Ankylosis, unspecified hip"
M24.80,"Other specific joint derangements of unspecified joint, not elsewhere classified"
M24.819,"Other specific joint derangements of unspecified shoulder, not elsewhere classified"
M24.829,"Other specific joint derangements of unspecified elbow, not elsewhere classified"
M25.029,"Hemarthrosis, unspecified elbow"
M25.039,"Hemarthrosis, unspecified wrist"
M25.073,"Hemarthrosis, unspecified ankle"
M25.10,"Fistula, unspecified joint"
M25.11,"Fistula, shoulder"
M25.111,"Fistula, right shoulder"
M25.122,"Fistula, left elbow"
M25.131,"Fistula, right wrist"
M25.18,"Fistula, other specified site"
M25.30,"Other instability, unspecified joint"
M25.319,"Other instability, unspecified shoulder"
M25.331,"Other instability, right wrist"
M25.339,"Other instability, unspecified wrist"
M25.351,"Other instability, right hip"
M25.352,"Other instability, left hip"
M25.361,"Other instability, right knee"
M25.362,"Other instability, left knee"
M25.369,"Other instability, unspecified knee"
M25.371,"Other instability, right ankle"
M25.40,"Effusion, unspecified joint"
M25.411,"Effusion, right shoulder"
M25.412,"Effusion, left shoulder"
M25.421,"Effusion, right elbow"
M25.422,"Effusion, left elbow"
M25.431,"Effusion, right wrist"
M25.432,"Effusion, left wrist"
M25.439,"Effusion, unspecified wrist"
M25.441,"Effusion, right hand"
M25.442,"Effusion, left hand"
M25.449,"Effusion, unspecified hand"
M25.451,"Effusion, right hip"
M25.452,"Effusion, left hip"
M25.461,"Effusion, right knee"
M25.462,"Effusion, left knee"
M25.469,"Effusion, unspecified knee"
M25.471,"Effusion, right ankle"
M25.472,"Effusion, left ankle"
M25.473,"Effusion, unspecified ankle"
M25.476,"Effusion, unspecified foot"
M25.48,"Effusion, other site"
M25.5,Pain in joint
M25.50,Pain in unspecified joint
M25.51,Pain in shoulder
M25.511,Pain in right shoulder
M25.512,Pain in left shoulder
M25.519,Pain in unspecified shoulder
M25.52,Pain in elbow
M25.521,Pain in right elbow
M25.522,Pain in left elbow
M25.529,Pain in unspecified elbow
M25.53,Pain in wrist
M25.531,Pain in right wrist
M25.532,Pain in left wrist
M25.539,Pain in unspecified wrist
M25.54,Pain in joints of hand
M25.541,Pain in joints of right hand
M25.542,Pain in joints of left hand
M25.55,Pain in hip
M25.551,Pain in right hip
M25.552,Pain in left hip
M25.559,Pain in unspecified hip
M25.56,Pain in knee
M25.561,Pain in right knee
M25.562,Pain in left knee
M25.569,Pain in unspecified knee
M25.57,Pain in ankle and joints of foot
M25.571,Pain in right ankle and joints of right foot
M25.572,Pain in left ankle and joints of left foot
M25.579,Pain in unspecified ankle and joints of unspecified foot
M25.59,Pain in other specified joint
M25.6,"Stiffness of joint, not elsewhere classified"
M25.60,"Stiffness of unspecified joint, not elsewhere classified"
M25.639,"Stiffness of unspecified wrist, not elsewhere classified"
M25.659,"Stiffness of unspecified hip, not elsewhere classified"
M25.661,"Stiffness of right knee, not elsewhere classified"
M25.69,"Stiffness of other specified joint, not elsewhere classified"
M25.70,"Osteophyte, unspecified joint"
M25.85,"Other specified joint disorders, hip"
M25.861,"Other specified joint disorders, right knee"
M25.869,"Other specified joint disorders, unspecified knee"
M25.9,"Joint disorder, unspecified"
M26.00,Unspecified anomaly of jaw size
M26.09,Other specified anomalies of jaw size
M26.220,Open anterior occlusal relationship
M26.30,Unspecified anomaly of tooth position of fully erupted tooth or teeth
M26.34,Vertical displacement of fully erupted tooth or teeth
M26.39,Other anomalies of tooth position of fully erupted tooth or teeth
M26.50,"Dentofacial functional abnormalities, unspecified"
M26.51,Abnormal jaw closure
M26.69,Other specified disorders of temporomandibular joint
M26.81,Anterior soft tissue impingement
M26.82,Posterior soft tissue impingement
M27.1,"Giant cell granuloma, central"
M27.2,Inflammatory conditions of jaws
M27.3,Alveolitis of jaws
M27.49,Other cysts of jaw
M27.6,Endosseous dental implant failure
M27.9,"Disease of jaws, unspecified"
M30.3,Mucocutaneous lymph node syndrome [Kawasaki]
M32,Systemic lupus erythematosus (SLE)
M32.10,"Systemic lupus erythematosus, organ or system involvement unspecified"
M32.8,Other forms of systemic lupus erythematosus
M32.9,"Systemic lupus erythematosus, unspecified"
M33.20,"Polymyositis, organ involvement unspecified"
M33.90,"Dermatopolymyositis, unspecified, organ involvement unspecified"
M34.0,Progressive systemic sclerosis
M35.81,Multisystem inflammatory syndrome
M35.89,Other specified systemic involvement of connective tissue
M40.00,"Postural kyphosis, site unspecified"
M40.209,"Unspecified kyphosis, site unspecified"
M41.20,"Other idiopathic scoliosis, site unspecified"
M41.80,"Other forms of scoliosis, site unspecified"
M41.9,"Scoliosis, unspecified"
M43.20,"Fusion of spine, site unspecified"
M43.22,"Fusion of spine, cervical region"
M43.5X9,"Other recurrent vertebral dislocation, site unspecified"
M43.6,Torticollis
M43.8X8,"Other specified deforming dorsopathies, sacral and sacrococcygeal region"
M43.8X9,"Other specified deforming dorsopathies, site unspecified"
M46.1,"Sacroiliitis, not elsewhere classified"
M46.20,"Osteomyelitis of vertebra, site unspecified"
M46.26,"Osteomyelitis of vertebra, lumbar region"
M46.28,"Osteomyelitis of vertebra, sacral and sacrococcygeal region"
M46.36,"Infection of intervertebral disc (pyogenic), lumbar region"
M46.40,"Discitis, unspecified, site unspecified"
M46.44,"Discitis, unspecified, thoracic region"
M46.46,"Discitis, unspecified, lumbar region"
M47.011,"Anterior spinal artery compression syndromes, occipito-atlanto-axial region"
M47.022,"Vertebral artery compression syndromes, cervical region"
M47.12,"Other spondylosis with myelopathy, cervical region"
M47.14,"Other spondylosis with myelopathy, thoracic region"
M47.16,"Other spondylosis with myelopathy, lumbar region"
M47.812,"Spondylosis without myelopathy or radiculopathy, cervical region"
M47.819,"Spondylosis without myelopathy or radiculopathy, site unspecified"
M48.0,Spinal stenosis
M48.00,"Spinal stenosis, site unspecified"
M48.02,"Spinal stenosis, cervical region"
M48.04,"Spinal stenosis, thoracic region"
M48.06,"Spinal stenosis, lumbar region"
M48.061,"Spinal stenosis, lumbar region without neurogenic claudication"
M48.062,"Spinal stenosis, lumbar region with neurogenic claudication"
M48.23,"Kissing spine, cervicothoracic region"
M48.26,"Kissing spine, lumbar region"
M48.30,"Traumatic spondylopathy, site unspecified"
M48.4,Fatigue fracture of vertebra
M48.40XA,"Fatigue fracture of vertebra, site unspecified, initial encounter for fracture"
M48.40XS,"Fatigue fracture of vertebra, site unspecified, sequela of fracture"
M48.42XA,"Fatigue fracture of vertebra, cervical region, initial encounter for fracture"
M48.43XA,"Fatigue fracture of vertebra, cervicothoracic region, initial encounter for fracture"
M48.44XA,"Fatigue fracture of vertebra, thoracic region, initial encounter for fracture"
M48.45XA,"Fatigue fracture of vertebra, thoracolumbar region, initial encounter for fracture"
M48.50XA,"Collapsed vertebra, not elsewhere classified, site unspecified, initial encounter for fracture"
M50,Cervical disc disorders
M50.20,"Other cervical disc displacement, unspecified cervical region"
M50.220,"Other cervical disc displacement, mid-cervical region, unspecified level"
M50.222,Other cervical disc displacement at C5-C6 level
M51.26,"Other intervertebral disc displacement, lumbar region"
M51.27,"Other intervertebral disc displacement, lumbosacral region"
M51.34,"Other intervertebral disc degeneration, thoracic region"
M51.35,"Other intervertebral disc degeneration, thoracolumbar region"
M51.36,"Other intervertebral disc degeneration, lumbar region"
M51.37,"Other intervertebral disc degeneration, lumbosacral region"
M51.9,"Unspecified thoracic, thoracolumbar and lumbosacral intervertebral disc disorder"
M53.2X5,"Spinal instabilities, thoracolumbar region"
M53.2X9,"Spinal instabilities, site unspecified"
M53.3,"Sacrococcygeal disorders, not elsewhere classified"
M53.85,"Other specified dorsopathies, thoracolumbar region"
M53.9,"Dorsopathy, unspecified"
M54,Dorsalgia
M54.0,Panniculitis affecting regions of neck and back
M54.00,"Panniculitis affecting regions of neck and back, site unspecified"
M54.02,"Panniculitis affecting regions of neck and back, cervical region"
M54.04,"Panniculitis affecting regions of neck and back, thoracic region"
M54.07,"Panniculitis affecting regions of neck and back, lumbosacral region"
M54.08,"Panniculitis affecting regions of neck and back, sacral and sacrococcygeal region"
M54.1,Radiculopathy
M54.10,"Radiculopathy, site unspecified"
